ሀንጋሪኛ (hu)
ቤንጋሊኛ (bn)
ብሊን (byn)
ብሬቶንኛ (br)
ቦስኒያንኛ (bs)
ቦዶ (brx)
ቩንጆ (vun)
ቪትናምኛ (vi)
ቫይ (vai)
ቬንዳ (ve)
ቮላፑክኛ (vo)
ተሉጉኛ (te)
ቱምቡካ (tum)
ቱርክመንኛ (tk)
ቱርክኛ (tr)
ቲቤታንኛ (bo)
ታሂታንኛ (ty)
ታሚልኛ (ta)
ታሳዋቅ (twq)
ታታርኛ (tt)
ታቼልሂት (shi)
ታይታኛ (dav)
ታይኛ (th)
ታጂኪኛ (tg)
ታጋሎገኛ (tl)
ቴሶ (teo)
ቴተም (tet)
ትዊኛ (tw)
ትግረ (tig)
ትግርኛ (ti)
ቶንጋኛ (to)
ቶክ ፒሲን (tpi)
ቺጋኛ (cgg)
ቻይንኛ (zh)
ቼሮኬኛ (chr)
ቼክኛ (cs)
ኑዌር (nus)
ኒያንኮልኛ (nyn)
ናማ (naq)
ናኡሩ (na)
ኔፓሊኛ (ne)
ንኮ (nqo)
ንያንጃ (ny)
ንጎባኛ (jgo)
ኖርዌጂያን (no)
አማርኛ (am)
አርመናዊ (hy)
አሱ (asa)
አሳሜዛዊ (as)
አብሐዚኛ (ab)
አካንኛ (ak)
አኮሊኛ (ach)
አዘርባጃንኛ (az)
አያማርኛ (ay)
አይሪሽ (ga)
አይስላንድኛ (is)
አገም (agq)
አፋርኛ (aa)
አፍሪካንኛ (af)
ኡርዱኛ (ur)
ኡዊግሁርኛ (ug)
ኡዝቤክኛ (uz)
ኢስቶኒያንኛ (et)
ኢቦኛ (ebu)
ኢናሪ ሳሚ (smn)
ኢንቴርሊንጓ (ia)
ኢንዶኔዥኛ (id)
ኢዊ (ee)
ኢግቦኛ (ig)
ኤስፐራንቶ (eo)
ኤፊክ (efi)
እስኮትስ ጌልክኛ (gd)
እኑክቲቱትኛ (iu)
እኑፒያቅኛ (ik)
እንተርሊንግወ (ie)
እንግሊዝኛ (en)
ኦሪያኛ (or)
ኦሮሞኛ (om)
ኦሴቲክ (os)
ኦኪታንኛ (oc)
ኩርድሽኛ (ku)
ኪርጊዝኛ (ky)
ኪቼ (quc)
ኪንያርዋንድኛ (rw)
ኪኩዩ (ki)
ካለንጂን (kln)
ካላሊሱትኛ (kl)
ካምባ (kam)
ካሽሚርኛ (ks)
ካቡቨርዲያኑ (kea)
ካብይል (kab)
ካታላንኛ (ca)
ካናዳኛ (kn)
ካዛክኛ (kk)
ክሊንጎንኛ (tlh)
ክመርኛ ማእከላዊ (km)
ክሮሽያንኛ (hr)
ክዋሲዮ (nmg)
ኮሚ ፔርምያክ (koi)
ኮሪያኛ (ko)
ኮርሲካኛ (co)
ኮርኒሽ (kw)
ኮንጎ ስዋሂሊ (swc)
ኮንጎኛ (kg)
ኮካኒ (kok)
ኮይራ ቺኒ (khq)
ኮይራቦሮ ሴኒ (ses)
ኵቿኛ (qu)
ወልሽ (cy)
ዎሎፍኛ (wo)
ዓረብኛ (ar)
ዕብራስጥ (he)
ዘመናዊ መደበኛ ዓረብኛ (ar_001)
ዙሉኛ (zu)
ዛርማኛ (dje)
ዞሳኛ (xh)
ዡዋንግኛ (za)
የላቲን አሜሪካ ስፓኒሽ (es_419)
የላይኛው ሶርቢያንኛ (hsb)
የምዕራብ ፍሪስኛ (fy)
የስዊዝ ከፍተኛ ጀርመንኛ (de_CH)
የስዊዝ ጀርመን (gsw)
የስዊዝ ፈረንሳይኛ (fr_CH)
የሶራኒ ኩርድኛ (ckb)
የብሪቲሽ እንግሊዝኛ (en_GB)
የብራዚል ፖርቹጋልኛ (pt_BR)
የታችኛው ሶርቢያንኛ (dsb)
የኖርዌይ ቦክማል (nb)
የኖርዌይ ናይኖርስክ (nn)
የአሜሪካ እንግሊዝኛ (en_US)
የአውሮፓ እስፓንኛ (es_ES)
የአውሮፓ ፖርቹጋልኛ (pt_PT)
የአውስትራሊያ እንግሊዝኛ (en_AU)
የኦስትሪያ ጀርመን (de_AT)
የካናዳ እንግሊዝኛ (en_CA)
የካናዳ ፈረንሳይኛ (fr_CA)
ዩክሬንኛ (uk)
ያልታወቀ ቋንቋ (und)
ይዲሽኛ (yi)
ዮሩባዊኛ (yo)
ደቡባዊ ሳሚ (sma)
ደች (nl)
ዱዋላኛ (dua)
ዲቬህ (dv)
ዴኒሽ (da)
ድዞንግኻኛ (dz)
ጀርመን (de)
ጃቫንኛ (jv)
ጃፓንኛ (ja)
ጆላ ፎንያኛ (dyo)
ጆርጂያን (ka)
ጉስሊኛ (guz)
ጉጃርቲኛ (gu)
ጋ (gaa)
ጋሊሺያ (gl)
ጋንዳኛ (lg)
ጋጉዝኛ (gag)
ግሪክኛ (el)
ግዕዝኛ (gez)
ጓራኒኛ (gn)
ጣሊያንኛ (it)
ጽዋናዊኛ (tn)
ጾንጋኛ (ts)
ፈረንሳይኛ (fr)
ፊሊፒንኛ (fil)
ፊኒሽ (fi)
ፊጂኛ (fj)
ፋሮኛ (fo)
ፍሌሚሽ (nl_BE)
ፐርሺያኛ (fa)
ፑንጃብኛ (pa)
ፓሽቶኛ (ps)
ፖሊሽኛ (pl)
ፖርቹጋልኛ (pt)
Achinese (ace)
Adangme (ada)
Adyghe (ady)
Afrihili (afh)
Ainu (ain)
Akkadian (akk)
Akoose (bss)
Alabama (akz)
Aleut (ale)
Algerian Arabic (arq)
American Sign Language (ase)
Ancient Egyptian (egy)
Ancient Greek (grc)
Angika (anp)
Ao Naga (njo)
Aragonese (an)
Aramaic (arc)
Araona (aro)
Arapaho (arp)
Arawak (arw)
Aromanian (rup)
Arpitan (frp)
Asturian (ast)
Atsam (cch)
Avaric (av)
Avestan (ae)
Awadhi (awa)
Badaga (bfq)
Bafut (bfd)
Bakhtiari (bqi)
Balinese (ban)
Baluchi (bal)
Bamun (bax)
Banjar (bjn)
Basaa (bas)
Batak Toba (bbc)
Bavarian (bar)
Beja (bej)
Betawi (bew)
Bhojpuri (bho)
Bikol (bik)
Bini (bin)
Bishnupriya (bpy)
Blissymbols (zbl)
Brahui (brh)
Braj (bra)
Buginese (bug)
Bulu (bum)
Buriat (bua)
Caddo (cad)
Cajun French (frc)
Cantonese (yue)
Capiznon (cps)
Carib (car)
Cayuga (cay)
Cebuano (ceb)
Central Dusun (dtp)
Central Yupik (esu)
Chadian Arabic (shu)
Chagatai (chg)
Chamorro (ch)
Chechen (ce)
Cheyenne (chy)
Chibcha (chb)
Chimborazo Highland Quichua (qug)
Chinook Jargon (chn)
Chipewyan (chp)
Choctaw (cho)
Church Slavic (cu)
Chuukese (chk)
Chuvash (cv)
Classical Newari (nwc)
Classical Syriac (syc)
Colognian (ksh)
Comorian (swb)
Coptic (cop)
Cree (cr)
Creek (mus)
Crimean Turkish (crh)
Dakota (dak)
Dargwa (dar)
Dazaga (dzg)
Delaware (del)
Dinka (din)
Dogri (doi)
Dogrib (dgr)
Dyula (dyu)
Eastern Frisian (frs)
Egyptian Arabic (arz)
Ekajuk (eka)
Elamite (elx)
Emilian (egl)
Erzya (myv)
Ewondo (ewo)
Extremaduran (ext)
Fang (fan)
Fanti (fat)
Fiji Hindi (hif)
Fon (fon)
Frafra (gur)
Friulian (fur)
Fulah (ff)
Gan Chinese (gan)
Gayo (gay)
Gbaya (gba)
Gheg Albanian (aln)
Ghomala (bbj)
Gilaki (glk)
Gilbertese (gil)
Goan Konkani (gom)
Gondi (gon)
Gorontalo (gor)
Gothic (got)
Grebo (grb)
Gwichʼin (gwi)
Haida (hai)
Hakka Chinese (hak)
Herero (hz)
Hiligaynon (hil)
Hiri Motu (ho)
Hittite (hit)
Hmong (hmn)
Hupa (hup)
Iban (iba)
Ibibio (ibb)
Ido (io)
Iloko (ilo)
Ingrian (izh)
Ingush (inh)
Jamaican Creole English (jam)
Jju (kaj)
Judeo-Arabic (jrb)
Judeo-Persian (jpr)
Jutish (jut)
Kabardian (kbd)
Kachin (kac)
Kaingang (kgp)
Kako (kkj)
Kalmyk (xal)
Kanembu (kbl)
Kanuri (kr)
Kara-Kalpak (kaa)
Karachay-Balkar (krc)
Karelian (krl)
Kashubian (csb)
Kawi (kaw)
Kenyang (ken)
Khasi (kha)
Khotanese (kho)
Khowar (khw)
Kimbundu (kmb)
Kinaray-a (krj)
Kirmanjki (kiu)
Kom (bkm)
Komi (kv)
Koro (kfo)
Kosraean (kos)
Kotava (avk)
Kpelle (kpe)
Krio (kri)
Kuanyama (kj)
Kumyk (kum)
Kurukh (kru)
Kutenai (kut)
Ladino (lad)
Lahnda (lah)
Lamba (lam)
Latgalian (ltg)
Laz (lzz)
Lezghian (lez)
Ligurian (lij)
Limburgish (li)
Lingua Franca Nova (lfn)
Literary Chinese (lzh)
Livonian (liv)
Lojban (jbo)
Lombard (lmo)
Low German (nds)
Lower Silesian (sli)
Luiseno (lui)
Lunda (lun)
Maba (mde)
Madurese (mad)
Mafa (maf)
Magahi (mag)
Main-Franconian (vmf)
Maithili (mai)
Makasar (mak)
Manchu (mnc)
Mandar (mdr)
Mandingo (man)
Manipuri (mni)
Mari (chm)
Marshallese (mh)
Marwari (mwr)
Mazanderani (mzn)
Medumba (byv)
Mende (men)
Mentawai (mwv)
Mexican Spanish (es_MX)
Micmac (mic)
Middle Dutch (dum)
Middle English (enm)
Middle French (frm)
Middle High German (gmh)
Middle Irish (mga)
Min Nan Chinese (nan)
Minangkabau (min)
Mingrelian (xmf)
Mirandese (mwl)
Mizo (lus)
Moksha (mdf)
Mongo (lol)
Moroccan Arabic (ary)
Mossi (mos)
Multiple Languages (mul)
Muslim Tat (ttt)
Myene (mye)
Navajo (nv)
Ndonga (ng)
Neapolitan (nap)
Newari (new)
Ngambay (sba)
Ngiemboon (nnh)
Nheengatu (yrl)
Nias (nia)
Niuean (niu)
Nogai (nog)
Northern Frisian (frr)
Novial (nov)
Nyamwezi (nym)
Nyasa Tonga (tog)
Nyoro (nyo)
Nzima (nzi)
Ojibwa (oj)
Old English (ang)
Old French (fro)
Old High German (goh)
Old Irish (sga)
Old Norse (non)
Old Persian (peo)
Old Provençal (pro)
Osage (osa)
Ottoman Turkish (ota)
Pahlavi (pal)
Palatine German (pfl)
Palauan (pau)
Pali (pi)
Pampanga (pam)
Pangasinan (pag)
Papiamento (pap)
Pennsylvania German (pdc)
Phoenician (phn)
Picard (pcd)
Piedmontese (pms)
Plautdietsch (pdt)
Pohnpeian (pon)
Pontic (pnt)
Prussian (prg)
Rajasthani (raj)
Rapanui (rap)
Rarotongan (rar)
Riffian (rif)
Romagnol (rgn)
Romany (rom)
Root (root)
Rotuman (rtm)
Roviana (rug)
Rusyn (rue)
Saho (ssy)
Sakha (sah)
Samaritan Aramaic (sam)
Samogitian (sgs)
Sandawe (sad)
Santali (sat)
Sardinian (sc)
Sasak (sas)
Sassarese Sardinian (sdc)
Saterland Frisian (stq)
Saurashtra (saz)
Scots (sco)
Selayar (sly)
Selkup (sel)
Seneca (see)
Serbo-Croatian (sh)
Serer (srr)
Seri (sei)
Shan (shn)
Sicilian (scn)
Siksika (bla)
Silesian (szl)
Slave (den)
Sogdien (sog)
Soninke (snk)
South Azerbaijani (azb)
South Ndebele (nr)
Southern Altai (alt)
Sranan Tongo (srn)
Sukuma (suk)
Sumerian (sux)
Susu (sus)
Syriac (syr)
Talysh (tly)
Tamashek (tmh)
Taroko (trv)
Tereno (ter)
Timne (tem)
Tiv (tiv)
Tlingit (tli)
Tokelau (tkl)
Tornedalen Finnish (fit)
Tsakhur (tkr)
Tsakonian (tsd)
Tsimshian (tsi)
Tulu (tcy)
Tunisian Arabic (aeb)
Turoyo (tru)
Tuvalu (tvl)
Tuvinian (tyv)
Tyap (kcg)
Udmurt (udm)
Ugaritic (uga)
Umbundu (umb)
Venetian (vec)
Veps (vep)
Võro (vro)
Votic (vot)
Walloon (wa)
Walser (wae)
Waray (war)
Warlpiri (wbp)
Washo (was)
Wayuu (guc)
West Flemish (vls)
Western Mari (mrj)
Wolaytta (wal)
Wu Chinese (wuu)
Xiang Chinese (hsn)
Yangben (yav)
Yao (yao)
Yapese (yap)
Yemba (ybb)
Zapotec (zap)
Zaza (zza)
Zeelandic (zea)
Zenaga (zen)
Zoroastrian Dari (gbz)
Zuni (zun)
