абхазки (ab)
зуни (zun)
ибан (iba)
иврит (he)
игбо (ig)
идиш (yi)
идо (io)
източен фризски (frs)
илоко (ilo)
инари-саамски (smn)
ингушетски (inh)
индонезийски (id)
интерлингва (ia)
инуктитут (iu)
инупиак (ik)
ирландски (ga)
исландски (is)
испански (es)
италиански (it)
йоруба (yo)
кабардиан (kbd)
кабилски (kab)
кабовердиански (kea)
кави (kaw)
каддо (cad)
казахски (kk)
календжин (kln)
калмик (xal)
камба (kam)
канадски английски (en_CA)
канадски френски (fr_CA)
каннада (kn)
кантонски (yue)
канури (kr)
каракалпашки (kaa)
карачай-балкарски (krc)
карелски (krl)
карибски (car)
каталонски (ca)
качински (kac)
кашмирски (ks)
кашубски (csb)
кваняма (kj)
квасио (nmg)
кечуа (qu)
кикую (ki)
кимбунду (kmb)
киняруанда (rw)
киргизки (ky)
китайски (zh)
киче (quc)
класически невари (nwc)
класически сирийски (syc)
клингон (tlh)
койра чиини (khq)
койраборо сени (ses)
Коми (kv)
коми-пермяцки (koi)
коморски (swb)
конгоански (kg)
конгоански суахили (swc)
конкани (kok)
коптски (cop)
корейски (ko)
корнуолски (kw)
коро (kfo)
корсикански (co)
косраен (kos)
котски (kho)
кпеле (kpe)
крии (cr)
крик (mus)
кримскотатарски (crh)
ксоса (xh)
кумикски (kum)
курук (kru)
кутенай (kut)
кхаси (kha)
кхмерски (km)
кюрдски (ku)
кюрдски (сорани) (ckb)
ладино (lad)
лакота (lkt)
ламба (lam)
ланги (lag)
лаоски (lo)
латвийски (lv)
латински (la)
лахнда (lah)
лезгински (lez)
лимбургски (li)
лингала (ln)
литовски (lt)
лоджбан (jbo)
лози (loz)
луба катанга (lu)
луба-лулуа (lua)
луисеньо (lui)
луле-саамски (smj)
лунда (lun)
луо (luo)
лушаи (lus)
луя (luy)
люксембургски (lb)
магахи (mag)
мадурски (mad)
майтхили (mai)
макасар (mak)
македонски (mk)
маконде (kde)
макуа мето (mgh)
малайски (ms)
малаялам (ml)
малгашки (mg)
малтийски (mt)
мандар (mdr)
мандинго (man)
манипури (mni)
манкски (gv)
манчжурски (mnc)
маорски (mi)
мапуче (arn)
марати (mr)
марвари (mwr)
марийски (chm)
маршалезе (mh)
масайски (mas)
мачаме (jmc)
мексикански испански (es_MX)
менде (men)
меру (mer)
мета (mgo)
микмак (mic)
минангбау (min)
мирандийски (mwl)
многоезични (mul)
мокша (mdf)
молдовски (ro_MD)
монго (lol)
монголски (mn)
морисиен (mfe)
моси (mos)
мохоук (moh)
мунданг (mua)
навахо (nv)
нама (naq)
науру (na)
нгомба (jgo)
ндонга (ng)
неаполитански (nap)
неварски (new)
немски (de)
неопределен (und)
непалски (ne)
нзима (nzi)
ниамвези (nym)
нианколе (nyn)
нианса тонга (tog)
ниас (nia)
нидерландски (nl)
ниуеан (niu)
нко (nqo)
ногаи (nog)
норвежки (no)
норвежки букмол (nb)
норвежки нюношк (nn)
нуер (nus)
нуоро (nyo)
оджибва (oj)
оксидентал (ie)
окситански (oc)
опростен китайски (zh_Hans)
ория (or)
оромо (om)
оседжи (osa)
осетски (os)
отомански турски (ota)
палауан (pau)
пали (pi)
пампанга (pam)
пангасинан (pag)
папиаменту (pap)
пенджабски (pa)
персийски (fa)
пехлевийски (pal)
полски (pl)
португалски (pt)
похнпеиан (pon)
провансалски (pro)
пущу (ps)
раджастански (raj)
рапа нуи (rap)
рапотонган (rar)
рва (rwk)
реторомански (rm)
ромбо (rof)
роот (root)
румънски (ro)
рунди (rn)
руски (ru)
самаритански арамейски (sam)
самбуру (saq)
самоански (sm)
санго (sg)
сангу (sbp)
сандве (sad)
санкскритски (sa)
сантали (sat)
сардински (sc)
сасак (sas)
себуано (ceb)
северен ндебеле (nd)
северен сото (nso)
северен фризски (frr)
северносаамски (se)
селкуп (sel)
сена (seh)
серер (srr)
сесуто (st)
сидамо (sid)
сиксика (bla)
синдхи (sd)
синхалски (si)
сирийски (syr)
сицилиански (scn)
сколт-саамски (sms)
слейви (den)
словашки (sk)
словенски (sl)
сога (xog)
согдийски (sog)
сомалийски (so)
сонинке (snk)
сранан тонго (srn)
средновековен английски (enm)
средновековен ирландски (mga)
средновековен немски (gmh)
средновековен френски (frm)
средновековен холандски (dum)
сръбски (sr)
стандартен марокански тамазигт (zgh)
староанглийски (ang)
старовисоконемски (goh)
староирландски (sga)
старонорвежски (non)
староперсийски (peo)
старофренски (fro)
суази (ss)
суахили (sw)
сукума (suk)
сундански (su)
сусу (sus)
съвременен стандартен арабски (ar_001)
сърбохърватски (sh)
съчуански и (ii)
тагалог (tl)
таджикски (tg)
таита (dav)
таитянски (ty)
тайски (th)
тамашек (tmh)
тамилски (ta)
тасавак (twq)
татарски (tt)
ташелхит (shi)
телугу (te)
темне (tem)
терено (ter)
тесо (teo)
тетум (tet)
тибетски (bo)
тив (tiv)
тигре (tig)
тигриня (ti)
тлингит (tli)
ток писин (tpi)
токелайски (tkl)
тонга (to)
традиционен китайски (zh_Hant)
тсвана (tn)
тсонга (ts)
туап (kcg)
тувалуански (tvl)
тувински (tyv)
туи (tw)
тумбука (tum)
туркменски (tk)
турски (tr)
уашо (was)
угаритски (uga)
удмуртски (udm)
уелски (cy)
узбекски (uz)
уйгурски (ug)
украински (uk)
умбунду (umb)
унгарски (hu)
урду (ur)
фанг (fan)
фанти (fat)
фарьорски (fo)
фиджийски (fj)
филипински (fil)
финикийски (phn)
фински (fi)
фламандски (nl_BE)
фон (fon)
френски (fr)
фризийски (fy)
фриулиански (fur)
фула (ff)
хавайски (haw)
хаитянски (ht)
хайда (hai)
хауза (ha)
хереро (hz)
хилигайнон (hil)
хинди (hi)
хири моту (ho)
хитски (hit)
хмонг (hmn)
хупа (hup)
хърватски (hr)
централноатласки тамазигт (tzm)
цигански език (rom)
цимшиански (tsi)
църковно славянски (cu)
чагатай (chg)
чаморо (ch)
чейенски (chy)
чероки (chr)
чеченски (ce)
чешки (cs)
чибча (chb)
чига (cgg)
чиипувски (chp)
чинянджа (ny)
чокто (cho)
чувашки (cv)
чуук (chk)
шамбала (ksb)
шан (shn)
шведски (sv)
швейцарски горногермански (de_CH)
швейцарски немски (gsw)
швейцарски френски (fr_CH)
шона (sn)
шотландски (sco)
шотландски галски (gd)
шумерски (sux)
южен ндебеле (nr)
южноалтайски (alt)
южносаамски (sma)
явански (jv)
якутски (sah)
яо (yao)
япезе (yap)
японски (ja)
Akoose (bss)
Alabama (akz)
Algerian Arabic (arq)
American Sign Language (ase)
Ao Naga (njo)
Araona (aro)
Arpitan (frp)
Badaga (bfq)
Bafut (bfd)
Bakhtiari (bqi)
Bamun (bax)
Banjar (bjn)
Batak Toba (bbc)
Bavarian (bar)
Betawi (bew)
Bishnupriya (bpy)
Brahui (brh)
Brazilian Portuguese (pt_BR)
Bulu (bum)
Cajun French (frc)
Capiznon (cps)
Cayuga (cay)
Central Dusun (dtp)
Central Yupik (esu)
Chadian Arabic (shu)
Chimborazo Highland Quichua (qug)
Colognian (ksh)
Dazaga (dzg)
Egyptian Arabic (arz)
Emilian (egl)
European Portuguese (pt_PT)
European Spanish (es_ES)
Extremaduran (ext)
Fiji Hindi (hif)
Frafra (gur)
Gan Chinese (gan)
Gheg Albanian (aln)
Ghomala (bbj)
Gilaki (glk)
Goan Konkani (gom)
Hakka Chinese (hak)
Ibibio (ibb)
Ingrian (izh)
Jamaican Creole English (jam)
Jutish (jut)
Kaingang (kgp)
Kako (kkj)
Kanembu (kbl)
Kenyang (ken)
Khowar (khw)
Kinaray-a (krj)
Kirmanjki (kiu)
Kom (bkm)
Kotava (avk)
Krio (kri)
Latgalian (ltg)
Latin American Spanish (es_419)
Laz (lzz)
Ligurian (lij)
Lingua Franca Nova (lfn)
Literary Chinese (lzh)
Livonian (liv)
Lombard (lmo)
Lower Silesian (sli)
Maba (mde)
Mafa (maf)
Main-Franconian (vmf)
Mazanderani (mzn)
Medumba (byv)
Mentawai (mwv)
Min Nan Chinese (nan)
Mingrelian (xmf)
Moroccan Arabic (ary)
Muslim Tat (ttt)
Myene (mye)
Ngambay (sba)
Ngiemboon (nnh)
Nheengatu (yrl)
Novial (nov)
Palatine German (pfl)
Pennsylvania German (pdc)
Picard (pcd)
Piedmontese (pms)
Plautdietsch (pdt)
Pontic (pnt)
Prussian (prg)
Riffian (rif)
Romagnol (rgn)
Rotuman (rtm)
Roviana (rug)
Rusyn (rue)
Saho (ssy)
Samogitian (sgs)
Sassarese Sardinian (sdc)
Saterland Frisian (stq)
Saurashtra (saz)
Selayar (sly)
Seneca (see)
Seri (sei)
Silesian (szl)
South Azerbaijani (azb)
Talysh (tly)
Taroko (trv)
Tornedalen Finnish (fit)
Tsakhur (tkr)
Tsakonian (tsd)
Tulu (tcy)
Tunisian Arabic (aeb)
Turoyo (tru)
Venetian (vec)
Veps (vep)
Võro (vro)
Walser (wae)
Warlpiri (wbp)
Wayuu (guc)
West Flemish (vls)
Western Mari (mrj)
Wu Chinese (wuu)
Xiang Chinese (hsn)
Yangben (yav)
Yemba (ybb)
Zeelandic (zea)
Zoroastrian Dari (gbz)
