авади (awa)
клингонски (tlh)
кмерски (km)
книжевен кинески (lzh)
коварски (khw)
козрејски (kos)
којра чиини (khq)
којраборо сени (ses)
колоњски (ksh)
ком (bkm)
коми (kv)
коми-пермјачки (koi)
коморијански (swb)
конго (kg)
конгоански свахили (swc)
конкани (kok)
коптски (cop)
корејски (ko)
корен (root)
корзикански (co)
корнски (kw)
коро (kfo)
коса (xh)
котава (avk)
кпеле (kpe)
кри (cr)
крик (mus)
кримскотурски (crh)
крио (kri)
кумички (kum)
курдски (ku)
курух (kru)
кутенајски (kut)
ладино (lad)
лакотски (lkt)
ламба (lam)
ланги (lag)
ланда (lah)
лаошки (lo)
ласки (lzz)
латвиски (lv)
латгалски (ltg)
латински (la)
лезгински (lez)
ливонски (liv)
лигурски (lij)
лимбуршки (li)
лингала (ln)
лингва франка нова (lfn)
литвански (lt)
литературен арапски (ar_001)
ложбан (jbo)
лози (loz)
ломбардски (lmo)
луба-катанга (lu)
луба-лулуа (lua)
луја (luy)
лујсењски (lui)
луксембуршки (lb)
лулски лапонски (smj)
лунда (lun)
луо (luo)
маба (mde)
магахи (mag)
мадурски (mad)
мазендерански (mzn)
маитили (mai)
мајнскофранконски (vmf)
макасарски (mak)
македонски (mk)
маконде (kde)
макува-мито (mgh)
малајалам (ml)
малајски (ms)
малгашки (mg)
малтешки (mt)
мандарски (mdr)
мандинго (man)
манипури (mni)
манкс (gv)
манџурски (mnc)
маорски (mi)
мапучки (arn)
марати (mr)
марвари (mwr)
мариски (chm)
марокански арапски (ary)
маршалски (mh)
масајски (mas)
мафа (maf)
мачаме (jmc)
мегрелски (xmf)
медумба (byv)
менде (men)
менонитски долногермански (pdt)
меру (mer)
мета (mgo)
мизо (lus)
микмак (mic)
минангкабау (min)
мирандски (mwl)
мјене (mye)
мокшански (mdf)
молдавски (ro_MD)
монго (lol)
монголски (mn)
морисјен (mfe)
моси (mos)
мохавски (moh)
мунданг (mua)
навахо (nv)
нама (naq)
науруански (na)
нгембеј (sba)
нгиембун (nnh)
нгомба (jgo)
ндонга (ng)
неаполски (nap)
неварски (new)
непалски (ne)
непознат јазик (und)
нзима (nzi)
нијас (nia)
ниуејски (niu)
нко (nqo)
новијал (nov)
ногајски (nog)
норвешки (no)
норвешки букмол (nb)
норвешки нинорск (nn)
носу (ii)
нуер (nus)
њамвези (nym)
њанколе (nyn)
њанџа (ny)
њаса тонга (tog)
њенгату (yrl)
њоро (nyo)
окситански (oc)
окцидентал (ie)
орија (or)
оромо (om)
осашки (osa)
осетски (os)
отомански турски (ota)
оџибва (oj)
палауански (pau)
пали (pi)
пампанга (pam)
пангасинански (pag)
папијаменто (pap)
паштунски (ps)
пенсилваниски германски (pdc)
пенџапски (pa)
персиски (fa)
пиемонтски (pms)
пикардски (pcd)
повеќе јазици (mul)
поедноставен кинески (zh_Hans)
полски (pl)
понпејски (pon)
понтски (pnt)
португалски (pt)
португалски (во Европа) (pt_PT)
пруски (prg)
рапанујски (rap)
раротонгански (rar)
раџастански (raj)
реторомански (rm)
рифски (rif)
ровијански (rug)
романски (ro)
ромањолски (rgn)
ромбо (rof)
ромски (rom)
ротумански (rtm)
руа (rwk)
руанда (rw)
рунди (rn)
русински (rue)
руски (ru)
самарјански арамејски (sam)
самбуру (saq)
самоански (sm)
самогитски (sgs)
санго (sg)
сангу (sbp)
сандаве (sad)
санскрит (sa)
сантали (sat)
сардински (sc)
сасарски сардински (sdc)
сасачки (sas)
саураштра (saz)
сахо (ssy)
свати (ss)
свахили (sw)
себуански (ceb)
северен ндебеле (nd)
северен сото (nso)
севернолапонски (se)
севернофризиски (frr)
селајарски (sly)
селкупски (sel)
сена (seh)
сенека (see)
серер (srr)
сери (sei)
сесото (st)
сидамо (sid)
сиксика (bla)
синди (sd)
синхалски (si)
сириски (syr)
сицилијански (scn)
сјанг (hsn)
сколтски лапонски (sms)
слејви (den)
словачки (sk)
словенечки (sl)
сога (xog)
сомалиски (so)
сонинке (snk)
сорански курдски (ckb)
срански тонго (srn)
средноанглиски (enm)
средногорногермански (gmh)
средноирски (mga)
средноперсиски (pal)
среднофранцуски (frm)
среднохоландски (dum)
српски (sr)
српскохрватски (sh)
стандарден марокански тамазигтски (zgh)
староанглиски (ang)
старогорногермански (goh)
старогрчки (grc)
староегипетски (egy)
староирски (sga)
старонордиски (non)
староперсиски (peo)
старопровансалски (pro)
старофранцуски (fro)
сукума (suk)
сумерски (sux)
сундски (su)
сусу (sus)
тагалог (tl)
тазавак (twq)
таита (dav)
тајландски (th)
талишки (tly)
тамашек (tmh)
тамилски (ta)
тароко (trv)
татарски (tt)
татски (ttt)
тахитски (ty)
тачелхит (shi)
таџикистански (tg)
тви (tw)
телугу (te)
терено (ter)
тесо (teo)
тетум (tet)
тибетски (bo)
тив (tiv)
тигре (tig)
тигриња (ti)
тимне (tem)
тјап (kcg)
тлингит (tli)
тоба (bbc)
ток писин (tpi)
токелауански (tkl)
тонгански (to)
традиционален кинески (zh_Hant)
тувалуански (tvl)
тувански (tyv)
тулу (tcy)
тумбука (tum)
туниски арапски (aeb)
туркменски (tk)
турнедаленски фински (fit)
туројо (tru)
турски (tr)
угаритски (uga)
удмуртски (udm)
узбекистански (uz)
ујгурски (ug)
украински (uk)
умбунду (umb)
унгарски (hu)
урду (ur)
фалечкогермански (pfl)
фанг (fan)
фанти (fat)
фарефаре (gur)
фарски (fo)
феникиски (phn)
филипински (fil)
фински (fi)
фиџиски (fj)
фиџиски хинди (hif)
фон (fon)
франкопровансалски (frp)
француски (fr)
француски (во Канада) (fr_CA)
фула (ff)
фурлански (fur)
хавајски (haw)
хаитски (ht)
хајда (hai)
хака (hak)
хауса (ha)
хебрејски (he)
хереро (hz)
хетитски (hit)
хилигајнонски (hil)
хинди (hi)
хири моту (ho)
хмонг (hmn)
холандски (nl)
хотански (kho)
хрватски (hr)
хупа (hup)
цаконски (tsd)
цахурски (tkr)
цвана (tn)
централно марокански тамазитски (tzm)
централнојупички (esu)
цимшијански (tsi)
цонга (ts)
црковнословенски (cu)
чагатајски (chg)
чадски арапски (shu)
чаморски (ch)
чејенски (chy)
черокиски (chr)
чеченски (ce)
чешки (cs)
чибча (chb)
чига (cgg)
чинучки жаргон (chn)
чипевјански (chp)
чоктавски (cho)
чувашки (cv)
чучки (chk)
џуаншки (za)
џула (dyu)
шамбала (ksb)
шан (shn)
швајцарски германски (gsw)
шведски (sv)
шкотски гелски (gd)
шкотски германски (sco)
шлезиски (szl)
шона (sn)
шпански (es)
шпански (во Европа) (es_ES)
Australian English (en_AU)
Austrian German (de_AT)
Brazilian Portuguese (pt_BR)
Canadian English (en_CA)
Flemish (nl_BE)
Latin American Spanish (es_419)
Mentawai (mwv)
Mexican Spanish (es_MX)
Swiss French (fr_CH)
Swiss High German (de_CH)
Warlpiri (wbp)
