абхаски (ab)
Кадо (cad)
казашки (kk)
калалисут (kl)
каленџин (kln)
Калмик (xal)
камба (kam)
канада (kn)
Кантонски (yue)
Канури (kr)
Кара-калпашки (kaa)
Карачај-балкар (krc)
Карелијски (krl)
Карипски (car)
Каси (kha)
каталонски (ca)
Качин (kac)
кашмирски (ks)
Кашубијански (csb)
квасио (nmg)
кечуа (qu)
кикују (ki)
Кимбунду (kmb)
кинески (zh)
кинјаруанда (rw)
киргиски (ky)
Класични невари (nwc)
Класични сиријски (syc)
Клингонски (tlh)
кмерски (km)
којра чиини (khq)
којраборо сени (ses)
Коми (kv)
коми-пермски (koi)
Коморски (swb)
Конго (kg)
конго свахили (swc)
конкани (kok)
Коптски (cop)
корејски (ko)
корзикански (co)
корнволски (kw)
Коро (kfo)
коса (xh)
Косреански (kos)
Котанешки (kho)
Кпеле (kpe)
Кри (cr)
Кримеански турски (crh)
Кришки (mus)
Куањама (kj)
Кумик (kum)
курдски (ku)
Курукх (kru)
Кутенаи (kut)
Ладино (lad)
лакота (lkt)
Ламба (lam)
ланги (lag)
Ланда (lah)
лаошки (lo)
латински (la)
Лезгиан (lez)
летонски (lv)
Лимбургиш (li)
лингала (ln)
литвански (lt)
Лози (loz)
Лојбан (jbo)
луба-катанга (lu)
Луба-лулуа (lua)
Луисено (lui)
лујиа (luy)
луксембуршки (lb)
луле сами (smj)
Лунда (lun)
луо (luo)
Лушаи (lus)
Магахи (mag)
Мадурешки (mad)
мађарски (hu)
Маитили (mai)
Макасар (mak)
македонски (mk)
маконде (kde)
макува-меето (mgh)
малајалам (ml)
малајски (ms)
малгашки (mg)
малтешки (mt)
Мандар (mdr)
Мандинго (man)
Манипури (mni)
Манкс (gv)
Манчу (mnc)
маорски (mi)
мапуче (arn)
марати (mr)
Марвари (mwr)
Мари (chm)
Маршалски (mh)
масаи (mas)
мачаме (jmc)
Међујезички (ie)
Менде (men)
меру (mer)
мета (mgo)
Микмак (mic)
Минангкабау (min)
Мирандешки (mwl)
модеран стандардни арапски (ar_001)
Мокша (mdf)
молдавски (ro_MD)
Монго (lol)
монголски (mn)
морисјен (mfe)
Моси (mos)
мохок (moh)
мунданг (mua)
Н’ко (nqo)
Навахо (nv)
нама (naq)
Науру (na)
нгомба (jgo)
Ндонга (ng)
Неаполитански (nap)
Невари (new)
немачки (de)
непалски (ne)
непознат језик (und)
Нзима (nzi)
Ниас (nia)
Ниски немачки (nds)
Ниуеан (niu)
нјанколе (nyn)
Ногаи (nog)
Норвешки (no)
норвешки бокмал (nb)
норвешки нинорск (nn)
нуер (nus)
Њамвези (nym)
Њања (ny)
Њаса тонга (tog)
Њоро (nyo)
Ојибва (oj)
орија (or)
оромо (om)
Осаге (osa)
Осетски (os)
Отомански турски (ota)
Палауански (pau)
Пали (pi)
Пампанга (pam)
Пангасински (pag)
панџаби (pa)
Папиаменто (pap)
Пахлави (pal)
паштунски (ps)
персијски (fa)
пољски (pl)
Понпејски (pon)
португалски (pt)
Провансалски (oc)
Рађастани (raj)
Рапануи (rap)
Раротонган (rar)
рето-романски (rm)
Романи (rom)
ромбо (rof)
руа (rwk)
румунски (ro)
рунди (rn)
руски (ru)
Рут (root)
Самаритански арамејски (sam)
самбуру (saq)
Самоански (sm)
санго (sg)
сангу (sbp)
Сандаве (sad)
санскрит (sa)
Сантали (sat)
Сардињаски (sc)
Сасак (sas)
Свати (ss)
свахили (sw)
северни ндебеле (nd)
северни сами (se)
Северни сото (nso)
Северно-фризијски (frr)
Селкап (sel)
сена (seh)
Серер (srr)
Сесото (st)
сечуан ји (ii)
Сидамо (sid)
синди (sd)
синхалски (si)
Сиријски (syr)
Сисика (bla)
Сицилијански (scn)
сколт сами (sms)
Славски (den)
словачки (sk)
словеначки (sl)
сога (xog)
сомалски (so)
Сонинке (snk)
сорани курдски (ckb)
Соџијенски (sog)
Сранански тонго (srn)
Средњи високи немачки (gmh)
Средњи енглески (enm)
Средњи ирски (mga)
Средњи француски (frm)
Средњи холандски (dum)
српски (sr)
Српскохрватски (sh)
стандардни марокански тамазигт (zgh)
Стари норски (non)
Старогрчки (grc)
Староегипатски (egy)
Староенглески (ang)
Староирски (sga)
Старонемачки (goh)
Староперсијски (peo)
Старопровансалски (pro)
Старословенски (cu)
Старофранцуски (fro)
судански (su)
Сукума (suk)
Сумерски (sux)
Сусу (sus)
Тагалски (tl)
Тађик (tg)
таита (dav)
тајландски (th)
Тамашек (tmh)
тамилски (ta)
тасавак (twq)
татарски (tt)
Тахићански (ty)
ташелхит (shi)
Тви (tw)
телугу (te)
Терено (ter)
тесо (teo)
Тетум (tet)
тибетански (bo)
Тив (tiv)
Тигре (tig)
тигриња (ti)
Тимне (tem)
Тјап (kcg)
Тлингит (tli)
Ток Писин (tpi)
Токелау (tkl)
тонга (to)
Тсвана (tn)
Тсимшиан (tsi)
Тсонга (ts)
Тувалу (tvl)
Тувинијски (tyv)
Тумбука (tum)
туркменски (tk)
турски (tr)
Угаритски (uga)
Удмурт (udm)
узбечки (uz)
ујгурски (ug)
украјински (uk)
Умбунду (umb)
Унупиак (ik)
урду (ur)
Фанг (fan)
Фанти (fat)
фарски (fo)
Феничански (phn)
филипински (fil)
фински (fi)
фиџијски (fj)
фламански (nl_BE)
Фон (fon)
француски (fr)
Фриулијски (fur)
Фулах (ff)
хавајски (haw)
Хаида (hai)
Хаитски (ht)
хауса (ha)
хебрејски (he)
Хереро (hz)
Хилигајнон (hil)
хинди (hi)
Хири Моту (ho)
Хитите (hit)
Хмонг (hmn)
холандски (nl)
хрватски (hr)
Хупа (hup)
Цебуано (ceb)
централноатласки тамазигт (tzm)
Чагатаи (chg)
Чаморо (ch)
Чејенски (chy)
чероки (chr)
Чеченски (ce)
чешки (cs)
Чибча (chb)
чига (cgg)
Чинукски (chn)
Чипвијански (chp)
Чоктавски (cho)
Чувашки (cv)
Чукески (chk)
Џиз (gez)
џола фоњи (dyo)
џонга (dz)
шамбала (ksb)
Шан (shn)
швајцарски високи немачки (de_CH)
Швајцарски немачки (gsw)
шведски (sv)
Шкотски (sco)
Шкотски Галски (gd)
шона (sn)
шпански (es)
Akoose (bss)
Alabama (akz)
Algerian Arabic (arq)
American English (en_US)
American Sign Language (ase)
Ao Naga (njo)
Araona (aro)
Arpitan (frp)
Australian English (en_AU)
Austrian German (de_AT)
Badaga (bfq)
Bafut (bfd)
Bakhtiari (bqi)
Bamun (bax)
Banjar (bjn)
Batak Toba (bbc)
Bavarian (bar)
Betawi (bew)
Bishnupriya (bpy)
Brahui (brh)
British English (en_GB)
Bulu (bum)
Cajun French (frc)
Canadian English (en_CA)
Canadian French (fr_CA)
Capiznon (cps)
Cayuga (cay)
Central Dusun (dtp)
Central Yupik (esu)
Chadian Arabic (shu)
Chimborazo Highland Quichua (qug)
Colognian (ksh)
Dazaga (dzg)
Egyptian Arabic (arz)
Emilian (egl)
European Spanish (es_ES)
Extremaduran (ext)
Fiji Hindi (hif)
Frafra (gur)
Gan Chinese (gan)
Gheg Albanian (aln)
Ghomala (bbj)
Gilaki (glk)
Goan Konkani (gom)
Hakka Chinese (hak)
Ibibio (ibb)
Ingrian (izh)
Jamaican Creole English (jam)
Jutish (jut)
Kaingang (kgp)
Kako (kkj)
Kanembu (kbl)
Kenyang (ken)
Khowar (khw)
Kinaray-a (krj)
Kirmanjki (kiu)
Kom (bkm)
Kotava (avk)
Krio (kri)
Latgalian (ltg)
Latin American Spanish (es_419)
Laz (lzz)
Ligurian (lij)
Lingua Franca Nova (lfn)
Literary Chinese (lzh)
Livonian (liv)
Lombard (lmo)
Lower Silesian (sli)
Maba (mde)
Mafa (maf)
Main-Franconian (vmf)
Mazanderani (mzn)
Medumba (byv)
Mentawai (mwv)
Mexican Spanish (es_MX)
Min Nan Chinese (nan)
Mingrelian (xmf)
Moroccan Arabic (ary)
Muslim Tat (ttt)
Myene (mye)
Ngambay (sba)
Ngiemboon (nnh)
Nheengatu (yrl)
Novial (nov)
Palatine German (pfl)
Pennsylvania German (pdc)
Picard (pcd)
Piedmontese (pms)
Plautdietsch (pdt)
Pontic (pnt)
Prussian (prg)
Riffian (rif)
Romagnol (rgn)
Rotuman (rtm)
Roviana (rug)
Rusyn (rue)
Saho (ssy)
Samogitian (sgs)
Sassarese Sardinian (sdc)
Saterland Frisian (stq)
Saurashtra (saz)
Selayar (sly)
Seneca (see)
Seri (sei)
Silesian (szl)
Simplified Chinese (zh_Hans)
South Azerbaijani (azb)
Swiss French (fr_CH)
Talysh (tly)
Taroko (trv)
Tornedalen Finnish (fit)
Traditional Chinese (zh_Hant)
Tsakhur (tkr)
Tsakonian (tsd)
Tulu (tcy)
Tunisian Arabic (aeb)
Turoyo (tru)
Venetian (vec)
Veps (vep)
Võro (vro)
Walser (wae)
Warlpiri (wbp)
Wayuu (guc)
West Flemish (vls)
Western Mari (mrj)
Wu Chinese (wuu)
Xiang Chinese (hsn)
Yangben (yav)
Yemba (ybb)
Zeelandic (zea)
Zoroastrian Dari (gbz)
