אוזבעקיש (uz)
סאַמאאַניש (sm)
סאמאַליש (so)
סאַנסקריט (sa)
סאַרדיש (sc)
סוואַהיליש (sw)
סומעריש (sux)
סינדהי (sd)
סינהאַליש (si)
סיציליאַניש (scn)
סלאוואַקיש (sk)
סלאוועניש (sl)
סעבואַניש (ceb)
סערבא־קראאַטיש (sh)
סערביש (sr)
סקאטיש געליש (gd)
סקאטס (sco)
ענגליש (en)
עסטיש (et)
עספּעראַנטא (eo)
פּארטוגעזיש (pt)
פּאַשטאָ (ps)
פּויליש (pl)
פּערסיש (fa)
פּרייסיש (prg)
פֿאַראיש (fo)
פֿידזשי (fj)
פידזשי הינדי (hif)
פֿיליפּינא (fil)
פֿיניש (fi)
פֿלעמיש (nl_BE)
פֿראַנצויזיש (fr)
קאַזאַכיש (kk)
קאַטאַלאניש (ca)
קאמאריש (swb)
קאַנאַדאַ (kn)
קאנגא־סוואַהיליש (swc)
קארניש (kw)
קארעאיש (ko)
קאַשוביש (csb)
קורדיש (ku)
קירגיזיש (ky)
קלויסטער־סלאַוויש (cu)
קראאַטיש (hr)
קרים־טערקיש (crh)
רומעניש (ro)
רוסיניש (rue)
רוסיש (ru)
שאנאַ (sn)
שוועדיש (sv)
שלעזיש (szl)
שפּאַניש (es)
שפּאַניש (ES) (es_ES)
Abkhazian (ab)
Achinese (ace)
Acoli (ach)
Adangme (ada)
Adyghe (ady)
Afrihili (afh)
Aghem (agq)
Ainu (ain)
Akan (ak)
Akoose (bss)
Alabama (akz)
Aleut (ale)
Algerian Arabic (arq)
American English (en_US)
American Sign Language (ase)
Ancient Egyptian (egy)
Angika (anp)
Ao Naga (njo)
Araona (aro)
Arapaho (arp)
Arawak (arw)
Aromanian (rup)
Arpitan (frp)
Asturian (ast)
Asu (asa)
Atsam (cch)
Australian English (en_AU)
Austrian German (de_AT)
Avaric (av)
Avestan (ae)
Awadhi (awa)
Aymara (ay)
Badaga (bfq)
Bafia (ksf)
Bafut (bfd)
Bakhtiari (bqi)
Baluchi (bal)
Bambara (bm)
Bamun (bax)
Banjar (bjn)
Basaa (bas)
Bashkir (ba)
Batak Toba (bbc)
Beja (bej)
Bemba (bem)
Bena (bez)
Betawi (bew)
Bhojpuri (bho)
Bikol (bik)
Bini (bin)
Bishnupriya (bpy)
Bislama (bi)
Blin (byn)
Blissymbols (zbl)
Bodo (brx)
Brahui (brh)
Braj (bra)
Brazilian Portuguese (pt_BR)
British English (en_GB)
Buginese (bug)
Bulu (bum)
Buriat (bua)
Caddo (cad)
Cajun French (frc)
Canadian English (en_CA)
Canadian French (fr_CA)
Cantonese (yue)
Capiznon (cps)
Carib (car)
Cayuga (cay)
Central Atlas Tamazight (tzm)
Central Dusun (dtp)
Central Kurdish (ckb)
Central Yupik (esu)
Chadian Arabic (shu)
Chagatai (chg)
Chamorro (ch)
Chechen (ce)
Cherokee (chr)
Cheyenne (chy)
Chibcha (chb)
Chiga (cgg)
Chimborazo Highland Quichua (qug)
Chinook Jargon (chn)
Chipewyan (chp)
Choctaw (cho)
Chuukese (chk)
Chuvash (cv)
Classical Newari (nwc)
Classical Syriac (syc)
Colognian (ksh)
Coptic (cop)
Corsican (co)
Cree (cr)
Creek (mus)
Dakota (dak)
Dargwa (dar)
Dazaga (dzg)
Delaware (del)
Dinka (din)
Divehi (dv)
Dogri (doi)
Dogrib (dgr)
Duala (dua)
Dyula (dyu)
Dzongkha (dz)
Efik (efi)
Egyptian Arabic (arz)
Ekajuk (eka)
Elamite (elx)
Embu (ebu)
Emilian (egl)
Erzya (myv)
European Portuguese (pt_PT)
Ewe (ee)
Ewondo (ewo)
Extremaduran (ext)
Fang (fan)
Fanti (fat)
Fon (fon)
Frafra (gur)
Friulian (fur)
Fulah (ff)
Ga (gaa)
Gagauz (gag)
Gan Chinese (gan)
Ganda (lg)
Gayo (gay)
Gbaya (gba)
Geez (gez)
Gheg Albanian (aln)
Ghomala (bbj)
Gilaki (glk)
Gilbertese (gil)
Goan Konkani (gom)
Gondi (gon)
Gorontalo (gor)
Grebo (grb)
Guarani (gn)
Gujarati (gu)
Gusii (guz)
Gwichʼin (gwi)
Haida (hai)
Haitian (ht)
Hakka Chinese (hak)
Hawaiian (haw)
Herero (hz)
Hiligaynon (hil)
Hiri Motu (ho)
Hittite (hit)
Hmong (hmn)
Hupa (hup)
Iban (iba)
Ibibio (ibb)
Igbo (ig)
Iloko (ilo)
Inari Sami (smn)
Ingrian (izh)
Ingush (inh)
Interlingua (ia)
Interlingue (ie)
Inuktitut (iu)
Inupiaq (ik)
Jamaican Creole English (jam)
Jju (kaj)
Judeo-Arabic (jrb)
Jutish (jut)
Kabardian (kbd)
Kabuverdianu (kea)
Kabyle (kab)
Kachin (kac)
Kaingang (kgp)
Kako (kkj)
Kalaallisut (kl)
Kalenjin (kln)
Kalmyk (xal)
Kamba (kam)
Kanembu (kbl)
Kanuri (kr)
Kara-Kalpak (kaa)
Karachay-Balkar (krc)
Karelian (krl)
Kashmiri (ks)
Kawi (kaw)
Kenyang (ken)
Khasi (kha)
Khotanese (kho)
Khowar (khw)
Kikuyu (ki)
Kimbundu (kmb)
Kinaray-a (krj)
Kinyarwanda (rw)
Kirmanjki (kiu)
Klingon (tlh)
Kom (bkm)
Komi (kv)
Komi-Permyak (koi)
Kongo (kg)
Konkani (kok)
Koro (kfo)
Kosraean (kos)
Kotava (avk)
Koyra Chiini (khq)
Koyraboro Senni (ses)
Kpelle (kpe)
Krio (kri)
Kuanyama (kj)
Kumyk (kum)
Kurukh (kru)
Kutenai (kut)
Kwasio (nmg)
Kʼicheʼ (quc)
Lahnda (lah)
Lakota (lkt)
Lamba (lam)
Langi (lag)
Latgalian (ltg)
Latin American Spanish (es_419)
Laz (lzz)
Lezghian (lez)
Ligurian (lij)
Limburgish (li)
Lingala (ln)
Lingua Franca Nova (lfn)
Literary Chinese (lzh)
Lombard (lmo)
Lozi (loz)
Luba-Katanga (lu)
Luba-Lulua (lua)
Luiseno (lui)
Lule Sami (smj)
Lunda (lun)
Luo (luo)
Luyia (luy)
Maba (mde)
Machame (jmc)
Madurese (mad)
Mafa (maf)
Magahi (mag)
Main-Franconian (vmf)
Maithili (mai)
Makasar (mak)
Makhuwa-Meetto (mgh)
Makonde (kde)
Malagasy (mg)
Malay (ms)
Manchu (mnc)
Mandar (mdr)
Mandingo (man)
Manipuri (mni)
Mapuche (arn)
Marathi (mr)
Mari (chm)
Marshallese (mh)
Marwari (mwr)
Masai (mas)
Mazanderani (mzn)
Medumba (byv)
Mende (men)
Mentawai (mwv)
Meru (mer)
Metaʼ (mgo)
Mexican Spanish (es_MX)
Micmac (mic)
Middle Dutch (dum)
Middle French (frm)
Middle Irish (mga)
Min Nan Chinese (nan)
Minangkabau (min)
Mingrelian (xmf)
Mirandese (mwl)
Modern Standard Arabic (ar_001)
Mohawk (moh)
Moksha (mdf)
Moldavian (ro_MD)
Mongo (lol)
Morisyen (mfe)
Moroccan Arabic (ary)
Mossi (mos)
Multiple Languages (mul)
Mundang (mua)
Muslim Tat (ttt)
Myene (mye)
Nama (naq)
Nauru (na)
Navajo (nv)
Ndonga (ng)
Newari (new)
Ngambay (sba)
Ngiemboon (nnh)
Ngomba (jgo)
Nheengatu (yrl)
Nias (nia)
Niuean (niu)
No linguistic content (zxx)
Nogai (nog)
North Ndebele (nd)
Northern Sotho (nso)
Norwegian Bokmål (nb)
Novial (nov)
Nuer (nus)
Nyamwezi (nym)
Nyanja (ny)
Nyankole (nyn)
Nyasa Tonga (tog)
Nyoro (nyo)
Nzima (nzi)
NʼKo (nqo)
Ojibwa (oj)
Old Norse (non)
Old Provençal (pro)
Oriya (or)
Oromo (om)
Osage (osa)
Ottoman Turkish (ota)
Pahlavi (pal)
Palatine German (pfl)
Palauan (pau)
Pali (pi)
Pampanga (pam)
Pangasinan (pag)
Papiamento (pap)
Pennsylvania German (pdc)
Phoenician (phn)
Picard (pcd)
Piedmontese (pms)
Plautdietsch (pdt)
Pohnpeian (pon)
Pontic (pnt)
Punjabi (pa)
Quechua (qu)
Rajasthani (raj)
Rapanui (rap)
Rarotongan (rar)
Riffian (rif)
Romagnol (rgn)
Romansh (rm)
Romany (rom)
Rombo (rof)
Root (root)
Rotuman (rtm)
Roviana (rug)
Rundi (rn)
Rwa (rwk)
Saho (ssy)
Sakha (sah)
Samaritan Aramaic (sam)
Samburu (saq)
Samogitian (sgs)
Sandawe (sad)
Sango (sg)
Sangu (sbp)
Santali (sat)
Sasak (sas)
Sassarese Sardinian (sdc)
Saterland Frisian (stq)
Saurashtra (saz)
Selkup (sel)
Sena (seh)
Seneca (see)
Serer (srr)
Seri (sei)
Shambala (ksb)
Shan (shn)
Sichuan Yi (ii)
Sidamo (sid)
Siksika (bla)
Simplified Chinese (zh_Hans)
Skolt Sami (sms)
Slave (den)
sly (sly)
Soga (xog)
Sogdien (sog)
Soninke (snk)
South Ndebele (nr)
Southern Altai (alt)
Southern Sami (sma)
Southern Sotho (st)
Sranan Tongo (srn)
Standard Moroccan Tamazight (zgh)
Sukuma (suk)
Sundanese (su)
Susu (sus)
Swati (ss)
Swiss French (fr_CH)
Swiss German (gsw)
Swiss High German (de_CH)
Syriac (syr)
Tachelhit (shi)
Tahitian (ty)
Taita (dav)
Tajik (tg)
Talysh (tly)
Tamashek (tmh)
Taroko (trv)
Tasawaq (twq)
Telugu (te)
Tereno (ter)
Teso (teo)
Tetum (tet)
Thai (th)
Tigrinya (ti)
Timne (tem)
Tiv (tiv)
Tlingit (tli)
Tok Pisin (tpi)
Tokelau (tkl)
Tongan (to)
Tornedalen Finnish (fit)
Traditional Chinese (zh_Hant)
Tsakhur (tkr)
Tsakonian (tsd)
Tsimshian (tsi)
Tsonga (ts)
Tswana (tn)
Tulu (tcy)
Tumbuka (tum)
Tunisian Arabic (aeb)
Turkish (tr)
Turoyo (tru)
Tuvalu (tvl)
Tuvinian (tyv)
Twi (tw)
Tyap (kcg)
Udmurt (udm)
Ugaritic (uga)
Umbundu (umb)
Uyghur (ug)
Vai (vai)
Venda (ve)
Venetian (vec)
Veps (vep)
Võro (vro)
Votic (vot)
Vunjo (vun)
Walloon (wa)
Walser (wae)
Waray (war)
Warlpiri (wbp)
Washo (was)
Wayuu (guc)
Western Mari (mrj)
Wolaytta (wal)
Wolof (wo)
Wu Chinese (wuu)
Xhosa (xh)
Xiang Chinese (hsn)
Yangben (yav)
Yao (yao)
Yapese (yap)
Yemba (ybb)
Yoruba (yo)
Zapotec (zap)
Zarma (dje)
Zaza (zza)
Zeelandic (zea)
Zenaga (zen)
Zhuang (za)
Zoroastrian Dari (gbz)
Zuni (zun)
