ადანგმე (ada)
კოირა-ჩიინი (khq)
კოირაბორო-სენი (ses)
კომი (kv)
კომი-პერმიაკული (koi)
კომორული (swb)
კონგო (kg)
კონგოს სუაჰილი (swc)
კონკანი (kok)
კოპტური (cop)
კორეული (ko)
კორნული (kw)
კორსიკული (co)
კპელე (kpe)
კრი (cr)
კრიკი (mus)
კურუქი (kru)
კუტენაი (kut)
ლადინო (lad)
ლათინურ ამერიკული ესპანური (es_419)
ლათინური (la)
ლაკოტა (lkt)
ლამბა (lam)
ლანგი (lag)
ლანდა (lah)
ლაოსური (lo)
ლატვიური (lv)
ლეზგიური (lez)
ლიმბურგული (li)
ლინგალა (ln)
ლინგვისტური შიგთავსი არ არის (zxx)
ლიტვური (lt)
ლოზი (loz)
ლოჟბანი (jbo)
ლუბა-კატანგა (lu)
ლუისენიო (lui)
ლულე-საამური (smj)
ლუნდა (lun)
ლუო (luo)
ლუქსემბურგული (lb)
ლუჰია (luy)
მაბა (mde)
მაგაჰი (mag)
მაითილი (mai)
მაკედონური (mk)
მაკონდე (kde)
მალაგასიური (mg)
მალაიალამური (ml)
მალაიური (ms)
მალტური (mt)
მანიპური (mni)
მანჯურიული (mnc)
მაორი (mi)
მაპუდუნგუნი (arn)
მარათჰი (mr)
მარვარი (mwr)
მარიული (chm)
მასაი (mas)
მაფა (maf)
მაქუვა-მეეტო (mgh)
მენდე (men)
მენური (gv)
მერუ (mer)
მეტა’ ენა (mgo)
მექსიკური ესპანური (es_MX)
მიენე (mye)
მიზო (lus)
მირანდული (mwl)
მოლდავური (ro_MD)
მონგო (lol)
მონღოლური (mn)
მორისიენი (mfe)
მოქშა (mdf)
მოჰაუკური (moh)
მუნდანგი (mua)
ნავახო (nv)
ნამა (naq)
ნაურუ (na)
ნგომბა (jgo)
ნეაპოლიტანური (nap)
ნევარი (new)
ნეპალური (ne)
ნზიმა (nzi)
ნიამვეზი (nym)
ნიანკოლე (nyn)
ნიანჯა (ny)
ნიდერლანდური (nl)
ნიორო (nyo)
ნკო (nqo)
ნორვეგიული (no)
ნორვეგიული ბუკმოლი (nb)
ნორვეგიული ნიუნორსკი (nn)
ნოღაური (nog)
ნუერი (nus)
ორია (or)
ორომო (om)
ოსური (os)
ოქსიტანური (oc)
ოჯიბვე (oj)
პალი (pi)
პენჯაბური (pa)
პოლონური (pl)
პორტუგალიური (pt)
პუშტუ (ps)
რაპანუი (rap)
რაროტონგული (rar)
რაჯასთანი (raj)
რეტორომანული (rm)
რომბო (rof)
რუა (rwk)
რუმინული (ro)
რუნდი (rn)
რუსული (ru)
საეკლესიო სლავური (cu)
სამარიულ-არამეული (sam)
სამბურუ (saq)
სამოა (sm)
სამხრეთ ალთაური (alt)
სამხრეთ საამური (sma)
სამხრეთ სოთოს ენა (st)
სანგო (sg)
სანგუ (sbp)
სანსკრიტი (sa)
სარდინიული (sc)
სელკუპური (sel)
სენა (seh)
სენეკა (see)
სერბულ-ხორვატული (sh)
სერბული (sr)
სინდჰური (sd)
სინჰალური (si)
სირიული (syr)
სიჩუანის ი (ii)
სიცილიური (scn)
სკოლტ-საამური (sms)
სლოვაკური (sk)
სლოვენური (sl)
სოგა (xog)
სომალიური (so)
სომხური (hy)
სორანი ქურთული (ckb)
სპარსული (fa)
სტანდარტული მაროკოული ტამაზიგხტი (zgh)
სუაჰილი (sw)
სუნდური (su)
ტაი (th)
ტაიტა (dav)
ტამილური (ta)
ტასავაქი (twq)
ტაჯიკური (tg)
ტელუგუ (te)
ტესო (teo)
ტიბეტური (bo)
ტონგანური (to)
ტრადიციული ჩინური (zh_Hant)
ტსვანა (tn)
ტუვა (tyv)
უგარითული (uga)
უდმურტული (udm)
უელსური (cy)
უზბეკური (uz)
უიღურული (ug)
უკრაინული (uk)
უნგრული (hu)
ურდუ (ur)
უცნობი ენა (und)
ფალაური (pal)
ფარერული (fo)
ფილიპინური (fil)
ფინიკიური (phn)
ფინური (fi)
ფიჯი (fj)
ფლამანდიური (nl_BE)
ფონი (fon)
ფრანგული (fr)
ფრიულური (fur)
ქართული (ka)
ქაშმირული (ks)
ქვემოსორბული (dsb)
ქმერული (km)
ქურთული (ku)
ქჰოსა (xh)
ყაბარდოული (kbd)
ყაზახური (kk)
ყალმუხური (xal)
ყარაყალფახური (kaa)
ყარაჩაულ-ბალყარული (krc)
ყირგიზული (ky)
ყირიმულ-თურქული (crh)
ყუმუხური (kum)
შამბალა (ksb)
შანი (shn)
შვედური (sv)
შვეიცარიული გერმანული (gsw)
შვეიცარიული ზემოგერმანული (de_CH)
შვეიცარიული ფრანგული (fr_CH)
შილჰა (shi)
შონა (sn)
შოტლანდიური გელური (gd)
შუმერული (sux)
ჩადური არაბული (shu)
ჩეროკი (chr)
ჩეჩნური (ce)
ჩეხური (cs)
ჩიბჩა (chb)
ჩიგა (cgg)
ჩინური (zh)
ჩრდილოეთ ნდებელე (nd)
ჩრდილოეთ საამური (se)
ჩრდილოფრიზიული (frr)
ჩუვაშური (cv)
ცენტრალური მოროკოს ტამაზიგხტი (tzm)
ძველეგვიპტური (egy)
ძველი ბერძნული (grc)
ძველი ზემოგერმანული (goh)
ძველი ინგლისური (ang)
ძველი ირლანდიური (sga)
ძველი პროვანსული (pro)
ძველი სპარსული (peo)
ძველი ფრანგული (fro)
ძველსკანდინავიური (non)
ძონგკხა (dz)
ხეთური ენა (hit)
ხორვატული (hr)
ჰავაიური (haw)
ჰაიტიური (ht)
ჰაუსა (ha)
ჰინდი (hi)
Afrihili (afh)
Akoose (bss)
Alabama (akz)
Algerian Arabic (arq)
American Sign Language (ase)
Ao Naga (njo)
Araona (aro)
Aromanian (rup)
Arpitan (frp)
Atsam (cch)
Avaric (av)
Badaga (bfq)
Bafut (bfd)
Bakhtiari (bqi)
Banjar (bjn)
Batak Toba (bbc)
Bavarian (bar)
Betawi (bew)
Bikol (bik)
Bini (bin)
Bishnupriya (bpy)
Bislama (bi)
Brahui (brh)
Buginese (bug)
Bulu (bum)
Caddo (cad)
Cajun French (frc)
Capiznon (cps)
Carib (car)
Cebuano (ceb)
Central Dusun (dtp)
Central Yupik (esu)
Chagatai (chg)
Chamorro (ch)
Cheyenne (chy)
Chimborazo Highland Quichua (qug)
Chinook Jargon (chn)
Chipewyan (chp)
Choctaw (cho)
Chuukese (chk)
Colognian (ksh)
Dazaga (dzg)
Egyptian Arabic (arz)
Ekajuk (eka)
Elamite (elx)
Emilian (egl)
Extremaduran (ext)
Fang (fan)
Fanti (fat)
Fiji Hindi (hif)
Frafra (gur)
Fulah (ff)
Ga (gaa)
Gan Chinese (gan)
Gayo (gay)
Gheg Albanian (aln)
Ghomala (bbj)
Gilaki (glk)
Gilbertese (gil)
Goan Konkani (gom)
Gorontalo (gor)
Grebo (grb)
Gwichʼin (gwi)
Haida (hai)
Hakka Chinese (hak)
Herero (hz)
Hiligaynon (hil)
Hiri Motu (ho)
Hmong (hmn)
Hupa (hup)
Iloko (ilo)
Ingrian (izh)
Inupiaq (ik)
Jamaican Creole English (jam)
Jju (kaj)
Jutish (jut)
Kaingang (kgp)
Kako (kkj)
Kanembu (kbl)
Kawi (kaw)
Kenyang (ken)
Khasi (kha)
Khotanese (kho)
Khowar (khw)
Kinaray-a (krj)
Kirmanjki (kiu)
Kom (bkm)
Koro (kfo)
Kosraean (kos)
Kotava (avk)
Krio (kri)
Kuanyama (kj)
Latgalian (ltg)
Laz (lzz)
Ligurian (lij)
Lingua Franca Nova (lfn)
Literary Chinese (lzh)
Livonian (liv)
Lombard (lmo)
Low German (nds)
Lower Silesian (sli)
Luba-Lulua (lua)
Madurese (mad)
Main-Franconian (vmf)
Makasar (mak)
Mandar (mdr)
Mandingo (man)
Marshallese (mh)
Mazanderani (mzn)
Medumba (byv)
Mentawai (mwv)
Micmac (mic)
Middle Dutch (dum)
Middle English (enm)
Middle French (frm)
Middle High German (gmh)
Middle Irish (mga)
Min Nan Chinese (nan)
Minangkabau (min)
Mingrelian (xmf)
Moroccan Arabic (ary)
Mossi (mos)
Multiple Languages (mul)
Muslim Tat (ttt)
Ndonga (ng)
Ngambay (sba)
Ngiemboon (nnh)
Nheengatu (yrl)
Nias (nia)
Niuean (niu)
Northern Sotho (nso)
Novial (nov)
Nyasa Tonga (tog)
Osage (osa)
Ottoman Turkish (ota)
Palatine German (pfl)
Palauan (pau)
Pampanga (pam)
Pangasinan (pag)
Papiamento (pap)
Pennsylvania German (pdc)
Picard (pcd)
Piedmontese (pms)
Plautdietsch (pdt)
Pohnpeian (pon)
Pontic (pnt)
Prussian (prg)
Riffian (rif)
Romagnol (rgn)
Root (root)
Rotuman (rtm)
Roviana (rug)
Rusyn (rue)
Saho (ssy)
Samogitian (sgs)
Sandawe (sad)
Santali (sat)
Sasak (sas)
Sassarese Sardinian (sdc)
Saterland Frisian (stq)
Saurashtra (saz)
Scots (sco)
Selayar (sly)
Serer (srr)
Seri (sei)
Sidamo (sid)
Siksika (bla)
Silesian (szl)
Slave (den)
Sogdien (sog)
Soninke (snk)
South Azerbaijani (azb)
South Ndebele (nr)
Sranan Tongo (srn)
Sukuma (suk)
Susu (sus)
Swati (ss)
Tagalog (tl)
Tahitian (ty)
Talysh (tly)
Tamashek (tmh)
Taroko (trv)
Tereno (ter)
Tetum (tet)
Timne (tem)
Tiv (tiv)
Tlingit (tli)
Tok Pisin (tpi)
Tokelau (tkl)
Tornedalen Finnish (fit)
Tsakhur (tkr)
Tsakonian (tsd)
Tsimshian (tsi)
Tsonga (ts)
Tulu (tcy)
Tumbuka (tum)
Tunisian Arabic (aeb)
Turoyo (tru)
Tuvalu (tvl)
Tyap (kcg)
Umbundu (umb)
Venda (ve)
Venetian (vec)
Veps (vep)
Volapük (vo)
Võro (vro)
Votic (vot)
Walloon (wa)
Walser (wae)
Waray (war)
Warlpiri (wbp)
Washo (was)
Wayuu (guc)
West Flemish (vls)
Western Mari (mrj)
Wu Chinese (wuu)
Xiang Chinese (hsn)
Yangben (yav)
Yao (yao)
Yapese (yap)
Yemba (ybb)
Zapotec (zap)
Zeelandic (zea)
Zhuang (za)
Zoroastrian Dari (gbz)
Zuni (zun)
