abhaasi (ab)
herero (hz)
hiligaino (hil)
hindi (hi)
hiri-motu (ho)
hmong (hmn)
hollanti (nl)
hupa (hup)
iban (iba)
ibibio (ibb)
ido (io)
igbo (ig)
iiri (ga)
iloko (ilo)
inarinsaame (smn)
indonesia (id)
inguuši (inh)
inkeroinen (izh)
interlingua (ia)
interlingue (ie)
inuktitut (iu)
inupiaq (ik)
islanti (is)
italia (it)
itäfriisi (frs)
itävallansaksa (de_AT)
jaava (jv)
jakuutti (sah)
jamaikankreolienglanti (jam)
jao (yao)
japani (ja)
japi (yap)
jiddiš (yi)
jju (kaj)
jola-fonyi (dyo)
joruba (yo)
juuri (root)
juutalaisarabia (jrb)
juutalaispersia (jpr)
juutti (jut)
kabardi (kbd)
kabyyli (kab)
kaingang (kgp)
kako (kkj)
kalaallisut (kl)
kalenjin (kln)
kalmukki (xal)
kamba (kam)
kanadanenglanti (en_CA)
kanadanranska (fr_CA)
kanembu (kbl)
kannada (kn)
kantoninkiina (yue)
kanuri (kr)
kapverdenkreoli (kea)
karakalpakki (kaa)
karatšai-balkaari (krc)
karibi (car)
karjala (krl)
kašmiri (ks)
kašubi (csb)
katalaani (ca)
katanganluba (lu)
katšin (kac)
kavi (kaw)
kazakki (kk)
kenyang (ken)
keski-iiri (mga)
keskiatlaksentamazight (tzm)
keskienglanti (enm)
keskihollanti (dum)
keskiranska (frm)
keskiyläsaksa (gmh)
ketšua (qu)
khasi (kha)
khmer (km)
khotani (kho)
khowar (khw)
kiga (cgg)
kiina (zh)
kikuju (ki)
kimbundu (kmb)
kinaray-a (krj)
kingwana (swc)
kirgiisi (ky)
kiribati (gil)
kirkkoslaavi (cu)
kirmanjki (kiu)
klassinen kiina (lzh)
klassinen newari (nwc)
klingon (tlh)
koltansaame (sms)
kom (bkm)
komi (kv)
komipermjakki (koi)
komori (swb)
kongo (kg)
konkani (kok)
koose (bss)
kopti (cop)
korea (ko)
korni (kw)
korsika (co)
kosrae (kos)
kotava (avk)
koyra chiini (khq)
koyraboro senni (ses)
kpelle (kpe)
kreikka (el)
krimintataari (crh)
krio (kri)
kroatia (hr)
kuanjama (kj)
kumykki (kum)
kurdi (ku)
kurukh (kru)
kutenai (kut)
kwasio (nmg)
kymri (cy)
kʼicheʼ (quc)
kölsch (ksh)
ladino (lad)
lahnda (lah)
lakota (lkt)
lamba (lam)
lango (lag)
lao (lo)
latgalli (ltg)
latina (la)
latvia (lv)
lazi (lzz)
lezgi (lez)
liettua (lt)
liguuri (lij)
liivi (liv)
limburg (li)
lingala (ln)
lingua franca nova (lfn)
lojban (jbo)
lombardi (lmo)
lozi (loz)
luhya (luy)
luiseño (lui)
luluanluba (lua)
lunda (lun)
luo (luo)
lusai (lus)
luulajansaame (smj)
luxemburg (lb)
länsiflaami (vls)
länsifriisi (fy)
maasai (mas)
maba (mde)
machame (jmc)
madura (mad)
mafa (maf)
magahi (mag)
maininfrankki (vmf)
maithili (mai)
makassar (mak)
makedonia (mk)
makonde (kde)
makua-meetto (mgh)
malagassi (mg)
malaiji (ms)
malajalam (ml)
malawintonga (tog)
malta (mt)
mandar (mdr)
mandingo (man)
manipuri (mni)
manksi (gv)
mantšu (mnc)
maori (mi)
mapudungun (arn)
marathi (mr)
mari (chm)
marokonarabia (ary)
marshall (mh)
marwari (mwr)
mazandarani (mzn)
mbundu (umb)
medumba (byv)
meksikonespanja (es_MX)
mende (men)
mentawai (mwv)
meru (mer)
meta’ (mgo)
meänkieli (fit)
micmac (mic)
min nan -kiina (nan)
minangkabau (min)
mingreli (xmf)
mirandeesi (mwl)
mohawk (moh)
mokša (mdf)
moldova (ro_MD)
mongo (lol)
mongoli (mn)
monia kieliä (mul)
morisyen (mfe)
mossi (mos)
muinaisegypti (egy)
muinaisenglanti (ang)
muinaisiiri (sga)
muinaiskreikka (grc)
muinaisnorja (non)
muinaispersia (peo)
muinaispreussi (prg)
muinaisprovensaali (pro)
muinaisranska (fro)
muinaissyyria (syc)
muinaisyläsaksa (goh)
mundang (mua)
myene (mye)
määrittämätön kieli (und)
n’ko (nqo)
nama (naq)
napoli (nap)
nauru (na)
navajo (nv)
ndonga (ng)
ñeengatú (yrl)
nepali (ne)
newari (new)
ngambay (sba)
ngiemboon (nnh)
ngomba (jgo)
nias (nia)
niue (niu)
njandža (ny)
nogai (nog)
norja (no)
norjan bokmål (nb)
norjan nynorsk (nn)
norsunluurannikonkoro (kfo)
novial (nov)
nuer (nus)
nyamwezi (nym)
nyankole (nyn)
nyoro (nyo)
nzima (nzi)
odžibwa (oj)
oksitaani (oc)
orija (or)
oromo (om)
osage (osa)
osmani (ota)
osseetti (os)
paali (pi)
pahlavi (pal)
palau (pau)
pampanga (pam)
pandžabi (pa)
pangasinan (pag)
papiamentu (pap)
paštu (ps)
pennsylvaniansaksa (pdc)
perinteinen kiina (zh_Hant)
pfaltsi (pfl)
picardi (pcd)
piemonte (pms)
plautdietsch (pdt)
pohjois-ndebele (nd)
pohjoisfriisi (frr)
pohjoissaame (se)
pohjoissotho (nso)
pohnpei (pon)
pontoksenkreikka (pnt)
portugali (pt)
portugalinportugali (pt_PT)
puola (pl)
radžastani (raj)
ranska (fr)
rapanui (rap)
rarotonga (rar)
retoromaani (rm)
romagnoli (rgn)
romani (rom)
romania (ro)
rombo (rof)
rotuma (rtm)
roviana (rug)
ruanda (rw)
rundi (rn)
ruotsi (sv)
ruteeni (rue)
rwa (rwk)
saho (ssy)
saksa (de)
samarianaramea (sam)
samburu (saq)
samoa (sm)
samogiitti (sgs)
sandawe (sad)
sango (sg)
sangu (sbp)
sanskrit (sa)
santali (sat)
sardi (sc)
sasak (sas)
sassarinsardi (sdc)
saterlandinfriisi (stq)
sauraštri (saz)
seelanti (zea)
selayar (sly)
selkuppi (sel)
sena (seh)
seneca (see)
serbia (sr)
serbokroaatti (sh)
serer (srr)
seri (sei)
shambala (ksb)
shan (shn)
sichuanin-yi (ii)
sidamo (sid)
siksika (bla)
sindhi (sd)
sinhala (si)
sisilia (scn)
skotti (sco)
sleesia (szl)
sleesiansaksa (sli)
slevi (den)
slovakki (sk)
sloveeni (sl)
soga (xog)
sogdi (sog)
somali (so)
šona (sn)
soninke (snk)
sorani (ckb)
sranan (srn)
sukuma (suk)
sumeri (sux)
sunda (su)
suomi (fi)
susu (sus)
sveitsinranska (fr_CH)
sveitsinsaksa (gsw)
sveitsinyläsaksa (de_CH)
swahili (sw)
swazi (ss)
syyria (syr)
tadžikki (tg)
tagalog (tl)
tahiti (ty)
taita (dav)
tališi (tly)
tamašek (tmh)
tamili (ta)
tanska (da)
tarifit (rif)
taroko (trv)
tasawaq (twq)
tašelhit (shi)
tataari (tt)
tati (ttt)
telugu (te)
temne (tem)
tereno (ter)
teso (teo)
tetum (tet)
thai (th)
tigre (tig)
tigrinja (ti)
tiibet (bo)
tiv (tiv)
tlingit (tli)
tok-pisin (tpi)
tokelau (tkl)
tonga (to)
tšadinarabia (shu)
tšagatai (chg)
tsahuri (tkr)
tsakonia (tsd)
tšamorro (ch)
tšekki (cs)
tšetšeeni (ce)
tšibtša (chb)
tsimši (tsi)
tsonga (ts)
tšuvassi (cv)
tswana (tn)
tulu (tcy)
tumbuka (tum)
tunisianarabia (aeb)
turkki (tr)
turkmeeni (tk)
turojo (tru)
tuva (tyv)
tuvalu (tvl)
twi (tw)
tyap (kcg)
udmurtti (udm)
ugarit (uga)
uiguuri (ug)
ukraina (uk)
unkari (hu)
urdu (ur)
uzbekki (uz)
vai (vai)
vakioitu tamazight (zgh)
valkovenäjä (be)
valloni (wa)
valtakunnanaramea (arc)
vatja (vot)
venda (ve)
venetsia (vec)
venäjä (ru)
vepsä (vep)
vietnam (vi)
viro (et)
volapük (vo)
võro (vro)
vunjo (vun)
vuorimari (mrj)
walser (wae)
waray (war)
Warlpiri (wbp)
washo (was)
wayuu (guc)
wolaitta (wal)
wolof (wo)
wu-kiina (wuu)
xhosa (xh)
xiang-kiina (hsn)
yangben (yav)
yemba (ybb)
yksinkertaistettu kiina (zh_Hans)
yleisarabia (ar_001)
yläsorbi (hsb)
zapoteekki (zap)
zaza (zza)
zenaga (zen)
zhuang (za)
zoroastrialaisdari (gbz)
zulu (zu)
zuni (zun)
