กบายา (gba)
ฝรั่งเศส (fr)
ฝรั่งเศสกลาง (frm)
ฝรั่งเศสกาฌ็อง (frc)
ฝรั่งเศสโบราณ (fro)
ฝรั่งเศส (สวิส) (fr_CH)
พทคะ (bfq)
พม่า (my)
พอนติก (pnt)
พอห์นเพ (pon)
พัรช (bra)
พาชตู (ps)
พิศนุปริยะ (bpy)
พีดมอนต์ (pms)
เพลาท์ดิช (pdt)
โพโฑ (brx)
ฟราฟรา (gur)
ฟริเซียนตะวันตก (fy)
ฟริเซียนตะวันออก (frs)
ฟริเซียนเหนือ (frr)
ฟรีเซียนซัทเธอร์แลนด์ (stq)
ฟรูลี (fur)
ฟอง (fan)
ฟอน (fon)
ฟันติ (fat)
ฟิจิ (fj)
ฟินแลนด์ (fi)
ฟินแลนด์ทอร์เนดาเล็น (fit)
ฟินิเชีย (phn)
ฟิลิปปินส์ (fil)
ฟูลาฮ์ (ff)
เฟลมิช (nl_BE)
เฟลมิชตะวันตก (vls)
แฟโร (fo)
ภาษาที่ไม่รู้จัก (und)
ภาษามืออเมริกัน (ase)
โภชปุรี (bho)
มคหี (mag)
ม้ง (hmn)
มณีปุระ (mni)
มยีน (mye)
มราฐี (mr)
มอคชา (mdf)
มองโก (lol)
มองโกเลีย (mn)
มอริสเยน (mfe)
มอลโดวา (ro_MD)
มอลตา (mt)
มันดัง (mua)
มันดิงกา (man)
มากัววา-มีทโท (mgh)
มากาซาร์ (mak)
มาคอนเด (kde)
มาชาเม (jmc)
มาซันดารานี (mzn)
มาซิโดเนีย (mk)
มาไซ (mas)
มาดูรา (mad)
มานซ์ (gv)
มานดาร์ (mdr)
มาบา (mde)
มาฟา (maf)
มาร์แชลลิส (mh)
มารวาฑี (mwr)
มารี (chm)
มารีตะวันตก (mrj)
มาลากาซี (mg)
มาลายาลัม (ml)
มาเลย์ (ms)
มิกแมก (mic)
มีนังกาเบา (min)
มีรันดา (mwl)
เมเกรเลีย (xmf)
เมดุมบา (byv)
เมตา (mgo)
เมนเด (men)
เม็นตาไว (mwv)
เมน-ฟรานโกเนีย (vmf)
เมรู (mer)
เมารี (mi)
แมนจู (mnc)
โมซี (mos)
โมฮอว์ก (moh)
ไมถิลี (mai)
ไม่มีข้อมูลภาษา (zxx)
ยัป (yap)
ยิว (yi)
ยิว-เปอร์เซีย (jpr)
ยิว-อาหรับ (jrb)
ยูกันดา (lg)
ยูการิต (uga)
ยูเครน (uk)
ยูพิกกลาง (esu)
เยมบา (ybb)
เยอรมัน (de)
เยอรมันต่ำ - แซกซอนต่ำ (nds)
เยอรมันพาลาทิเนต (pfl)
เยอรมันเพนซิลเวเนีย (pdc)
เยอรมันสวิส (gsw)
เยอรมันสูงกลาง (gmh)
เยอรมันสูงโบราณ (goh)
เยอรมันสูง (สวิส) (de_CH)
เยอรมัน - ออสเตรีย (de_AT)
เย้า (yao)
แยงเบน (yav)
โยรูบา (yo)
รวันดา (rw)
รวา (rwk)
รอมโบ (rof)
รัสเซีย (ru)
ราชสถาน (raj)
ราปานู (rap)
ราโรทองกา (rar)
ริฟฟิอัน (rif)
รูซิน (rue)
รูท (root)
โรทูมัน (rtm)
โรมัณโญ (rgn)
โรมานี (rom)
โรมาเนีย (ro)
โรแมนซ์ (rm)
โรเวียนา (rug)
ลอมบาร์ด (lmo)
ละติน (la)
ลักเซมเบิร์ก (lb)
ลัตเกล (ltg)
ลัตเวีย (lv)
ลันดา (lun)
ลัว (luo)
ลาโกตา (lkt)
ลาดิโน (lad)
ลาว (lo)
ลาฮ์นดา (lah)
ลิกูเรีย (lij)
ลิงกัวฟรังกาโนวา (lfn)
ลิงกาลา (ln)
ลิทัวเนีย (lt)
ลิมเบิร์ก (li)
ลิโวเนีย (liv)
ลุยเซโน (lui)
ลูไช (lus)
ลูบา-กาตองกา (lu)
ลูบา-ลูลัว (lua)
ลูเยีย (luy)
เลซเกียน (lez)
แลซ (lzz)
แลนจี (lag)
แลมบา (lam)
โลชบัน (jbo)
โลซิ (loz)
วัลเซอร์ (wae)
วาโช (was)
วายู (guc)
วาเรย์ (war)
วาลาโม (wal)
วาโลนี (wa)
วุนจู (vun)
เวนดา (ve)
เวเนโต้ (vec)
เวปส์ (vep)
เวลส์ (cy)
เวียดนาม (vi)
โวทิก (vot)
โวโร (vro)
โวลอฟ (wo)
โวลาพึค (vo)
ไว (vai)
สกอตส์ (sco)
สกอตส์กาลิก (gd)
สเปน (es)
สเปน (ยุโรป) (es_ES)
สเลวี (den)
สโลวัก (sk)
สโลวีเนีย (sl)
สวาติ (ss)
สวาฮีลี (sw)
สวาฮีลี-คองโก (swc)
สวีเดน (sv)
สันตาลี (sat)
สันสกฤต (sa)
สิกสิกา (bla)
สิงหล (si)
สินธุ (sd)
เสฉวนยิ (ii)
เสาราษฏร์ (saz)
หลายภาษา (mul)
เหงงกาตุ (yrl)
อราเมอิก (arc)
อราเมอิกซามาเรีย (sam)
อวธี (awa)
อเวสตะ (ae)
อ็อกซิตัน (oc)
ออสเซเตีย (os)
อะดืยเก (ady)
อะฟาร์ (aa)
อักกาด (akk)
อักเฮม (agq)
อังกฤษ (en)
อังกฤษกลาง (enm)
อังกฤษคลีโอลจาเมกา (jam)
อังกฤษ - แคนาดา (en_CA)
อังกฤษโบราณ (ang)
อังกฤษ - สหราชอาณาจักร (en_GB)
อังกฤษ - อเมริกัน (en_US)
อังกฤษ - ออสเตรเลีย (en_AU)
อังคิกา (anp)
อับคาซ (ab)
อัมฮารา (am)
อัลไตใต้ (alt)
อัสตูเรียส (ast)
อัสสัม (as)
อาคัน (ak)
อาโคซี (bss)
อาโคลิ (ach)
อาเจะห์ (ace)
อาซู (asa)
อาเซอร์ไบจาน (az)
อาเซอร์ไบจานใต้ (azb)
อาแดงมี (ada)
อาร์พิตา (frp)
อาร์เมเนีย (hy)
อารากอน (an)
อาราปาโฮ (arp)
อาราวัก (arw)
อาเราคาเนียน (arn)
อาเรานา (aro)
อาโรมาเนียน (rup)
อาลิวต์ (ale)
อ๋าวนากา (njo)
อาวาร์ (av)
อาหรับ (ar)
อาหรับ-ชาด (shu)
อาหรับตูนิเซีย (aeb)
อาหรับพื้นเมืองอียิปต์ (arz)
อาหรับมาตรฐานสมัยใหม่ (ar_001)
อาหรับโมร็อกโก (ary)
อาหรับแอลจีเรีย (arq)
อิกโบ (ig)
อิตาลี (it)
อินกุช (inh)
อินเกรียน (izh)
อินโดนีเชีย (id)
อินเตอร์ลิงกัว (ia)
อินเตอร์ลิงกิว (ie)
อินุกติตุต (iu)
อิบาน (iba)
อิบิบิโอ (ibb)
อีกาจุก (eka)
อีโด (io)
อีนูเปียก (ik)
อีฟิก (efi)
อียิปต์โบราณ (egy)
อีลาไมต์ (elx)
อีโลโก (ilo)
อีวันโด (ewo)
อึนกอมบา (jgo)
อุซเบก (uz)
อุดมูร์ต (udm)
อุมบุนดู (umb)
อุยกัว (ug)
อูรดู (ur)
เอกซ์เตรมาดูรา (ext)
เอ็นโก (nqo)
เอ็นเดเบเลใต้ (nr)
เอ็นเดเบเลเหนือ (nd)
เอ็มบู (ebu)
เอมีเลีย (egl)
เอเว (ee)
เอสโตเนีย (et)
เอสเปอรันโต (eo)
เอียร์ซยา (myv)
แอตแซม (cch)
แอฟริกานส์ (af)
แอฟริฮีลี (afh)
แอลเบเนีย (sq)
แอละแบมา (akz)
โอจิบวา (oj)
โอซากี (osa)
โอริยา (or)
โอโรโม (om)
ไอซ์แลนด์ (is)
ไอนุ (ain)
ไอย์มารา (ay)
ไอริช (ga)
ไอริชกลาง (mga)
ไอริชโบราณ (sga)
ฮังการี (hu)
ฮาวาย (haw)
ฮิตไตต์ (hit)
ฮินดี (hi)
ฮินดีฟิจิ (hif)
ฮิบรู (he)
ฮีรีโมตู (ho)
ฮีลีกัยนน (hil)
ฮูปา (hup)
เฮติ (ht)
เฮเรโร (hz)
เฮาชา (ha)
ไฮดา (hai)
Canadian French (fr_CA)
Latin American Spanish (es_419)
Mexican Spanish (es_MX)
Warlpiri (wbp)
