абхазский (ab)
ньянколе (nyn)
ньяса (тонга) (tog)
оджибва (oj)
окситанский (oc)
ория (or)
оромо (om)
оседжи (osa)
осетинский (os)
палау (pau)
пали (pi)
пампанга (pam)
пангасинан (pag)
панджаби (pa)
папьяменто (pap)
персидский (fa)
пехлевийский (pal)
польский (pl)
понапе (pon)
португальский (pt)
пушту (ps)
раджастхани (raj)
рапануи (rap)
раротонганский (rar)
романшский (rm)
ромбо (rof)
руанда (rwk)
румынский (ro)
рунди (rn)
русский (ru)
саамский (южный) (sma)
самаритянский арамейский (sam)
самбуру (saq)
самоанский (sm)
санго (sg)
сангу (sbp)
сандаве (sad)
санскрит (sa)
сантали (sat)
сапотекский (zap)
сардинский (sc)
сасаки (sas)
сахо (ssy)
свази (ss)
северносаамский (se)
северный ндебели (nd)
селькупский (sel)
сена (seh)
сенека (see)
сербский (sr)
сербскохорватский (sh)
серер (srr)
сидама (sid)
сиксика (bla)
сингальский (si)
синдхи (sd)
сирийский (syr)
сицилийский (scn)
скольт-саамский (sms)
слейви (den)
словацкий (sk)
словенский (sl)
сога (xog)
согдийский (sog)
сомали (so)
сонинке (snk)
сорани курдский (ckb)
сото северный (nso)
сото южный (st)
сранан тонго (srn)
среднеанглийский (enm)
среднеатласский тамазигхтский (tzm)
средневерхненемецкий (gmh)
среднеирландский (mga)
средненидерландский (dum)
среднефранцузский (frm)
староанглийский (ang)
староирландский (sga)
старонорвежский (non)
староперсидский (peo)
старопровансальский (pro)
старотурецкий (ota)
старофранцузский (fro)
суахили (sw)
сукума (suk)
сунданский (su)
сусу (sus)
сычуань (ii)
тагалог (tl)
таджикский (tg)
таита (dav)
таитянский (ty)
тайский (th)
тамазигхтский (zgh)
тамашек (tmh)
тамильский (ta)
тароко (trv)
тасавак (twq)
татарский (tt)
тахелхит (shi)
тви (tw)
телугу (te)
темне (tem)
терено (ter)
тесо (teo)
тетум (tet)
тибетский (bo)
тиви (tiv)
тигре (tig)
тигринья (ti)
тлингит (tli)
ток-писин (tpi)
токелайский (tkl)
тонганский (to)
традиционный китайский (zh_Hant)
тсвана (tn)
тсонга (ts)
тувалу (tvl)
тувинский (tyv)
тумбука (tum)
турецкий (tr)
туркменский (tk)
туройо (tru)
тьяп (kcg)
угаритский (uga)
удмуртский (udm)
узбекский (uz)
уйгурский (ug)
украинский (uk)
умбунду (umb)
упрощенный китайский (zh_Hans)
урду (ur)
фанг (fan)
фанти (fat)
фарерский (fo)
фиджи (fj)
филиппинский (fil)
финикийский (phn)
финский (fi)
фламандский (nl_BE)
фон (fon)
французский (fr)
фризский северный (frr)
фриульский (fur)
фулах (ff)
хайда (hai)
хауса (ha)
хеттский (hit)
хилигайнон (hil)
хинди (hi)
хиримоту (ho)
хмонг (hmn)
хорватский (hr)
хотанский (kho)
хупа (hup)
церковнославянский (cu)
цимшиан (tsi)
цыганский (rom)
чагатайский (chg)
чадский арабс (shu)
чаморро (ch)
чейенн (chy)
чероки (chr)
чеченский (ce)
чешский (cs)
чжуань (za)
чибча (chb)
чига (cgg)
чинук жаргон (chn)
чипевайян (chp)
чоктав (cho)
чувашский (cv)
чукотский (chk)
шамбала (ksb)
шанский (shn)
шведский (sv)
швейцарский верхненемецкий (de_CH)
швейцарский немецкий (gsw)
швейцарский французский (fr_CH)
шона (sn)
шотландский (sco)
шумерский (sux)
эве (ee)
эвондо (ewo)
экаджук (eka)
эламский (elx)
эмбу (ebu)
эрзя (myv)
эсперанто (eo)
эстонский (et)
эфик (efi)
южноалтайский (alt)
яванский (jv)
якутский (sah)
янбан (yav)
яо (yao)
яп (yap)
японский (ja)
Alabama (akz)
Algerian Arabic (arq)
American Sign Language (ase)
Ao Naga (njo)
Araona (aro)
Arpitan (frp)
Badaga (bfq)
Bakhtiari (bqi)
Banjar (bjn)
Batak Toba (bbc)
Bavarian (bar)
Betawi (bew)
Bishnupriya (bpy)
Brahui (brh)
Cajun French (frc)
Capiznon (cps)
Central Dusun (dtp)
Central Yupik (esu)
Chimborazo Highland Quichua (qug)
Egyptian Arabic (arz)
Emilian (egl)
Extremaduran (ext)
Fiji Hindi (hif)
Frafra (gur)
Gan Chinese (gan)
Gheg Albanian (aln)
Gilaki (glk)
Goan Konkani (gom)
Hakka Chinese (hak)
Ingrian (izh)
Jamaican Creole English (jam)
Jutish (jut)
Kaingang (kgp)
Kenyang (ken)
Khowar (khw)
Kinaray-a (krj)
Kirmanjki (kiu)
Kotava (avk)
Krio (kri)
Latgalian (ltg)
Laz (lzz)
Ligurian (lij)
Lingua Franca Nova (lfn)
Literary Chinese (lzh)
Livonian (liv)
Lombard (lmo)
Lower Silesian (sli)
Main-Franconian (vmf)
Mazanderani (mzn)
Mentawai (mwv)
Mexican Spanish (es_MX)
Min Nan Chinese (nan)
Mingrelian (xmf)
Moroccan Arabic (ary)
Muslim Tat (ttt)
Nheengatu (yrl)
Novial (nov)
Palatine German (pfl)
Pennsylvania German (pdc)
Picard (pcd)
Piedmontese (pms)
Plautdietsch (pdt)
Pontic (pnt)
Prussian (prg)
Riffian (rif)
Romagnol (rgn)
Rotuman (rtm)
Roviana (rug)
Rusyn (rue)
Samogitian (sgs)
Sassarese Sardinian (sdc)
Saterland Frisian (stq)
Saurashtra (saz)
Selayar (sly)
Seri (sei)
Silesian (szl)
South Azerbaijani (azb)
Talysh (tly)
Tornedalen Finnish (fit)
Tsakhur (tkr)
Tsakonian (tsd)
Tulu (tcy)
Tunisian Arabic (aeb)
Venetian (vec)
Veps (vep)
Võro (vro)
Warlpiri (wbp)
Wayuu (guc)
West Flemish (vls)
Western Mari (mrj)
Wu Chinese (wuu)
Xiang Chinese (hsn)
Zeelandic (zea)
Zoroastrian Dari (gbz)
