កន្នដ (kn)
អេស្ប៉ាញ អាមេរីកឡាតាំង (es_419)
អេស្ប៉ាញ អឺរ៉ុប (es_ES)
អេស្ពេរ៉ាន់តូ (eo)
Achinese (ace)
Acoli (ach)
Adangme (ada)
Adyghe (ady)
Afrihili (afh)
Aghem (agq)
Ainu (ain)
Akan (ak)
Akkadian (akk)
Akoose (bss)
Alabama (akz)
Aleut (ale)
Algerian Arabic (arq)
American Sign Language (ase)
Ancient Egyptian (egy)
Ancient Greek (grc)
Angika (anp)
Ao Naga (njo)
Aramaic (arc)
Araona (aro)
Arapaho (arp)
Arawak (arw)
Aromanian (rup)
Arpitan (frp)
Asturian (ast)
Asu (asa)
Atlas Tamazight កណ្ដាល (tzm)
Atsam (cch)
Avaric (av)
Awadhi (awa)
Badaga (bfq)
Bafia (ksf)
Bafut (bfd)
Bakhtiari (bqi)
Balinese (ban)
Baluchi (bal)
Bamun (bax)
Banjar (bjn)
Basaa (bas)
Batak Toba (bbc)
Bavarian (bar)
Beja (bej)
Bemba (bem)
Bena (bez)
Betawi (bew)
Bhojpuri (bho)
Bikol (bik)
Bini (bin)
Bishnupriya (bpy)
Bislama (bi)
Blin (byn)
Blissymbols (zbl)
Bodo (brx)
Brahui (brh)
Braj (bra)
Buginese (bug)
Bulu (bum)
Buriat (bua)
Caddo (cad)
Cajun French (frc)
Canadian French (fr_CA)
Cantonese (yue)
Capiznon (cps)
Carib (car)
Cayuga (cay)
Cebuano (ceb)
Central Dusun (dtp)
Central Yupik (esu)
Chadian Arabic (shu)
Chagatai (chg)
Chamorro (ch)
Chechen (ce)
Cheyenne (chy)
Chibcha (chb)
Chiga (cgg)
Chimborazo Highland Quichua (qug)
Chinook Jargon (chn)
Chipewyan (chp)
Choctaw (cho)
Church Slavic (cu)
Chuukese (chk)
Chuvash (cv)
Classical Newari (nwc)
Classical Syriac (syc)
Colognian (ksh)
Comorian (swb)
Congo Swahili (swc)
Coptic (cop)
Cornish (kw)
Corsican (co)
Cree (cr)
Creek (mus)
Crimean Turkish (crh)
Dakota (dak)
Dargwa (dar)
Dazaga (dzg)
Delaware (del)
Dinka (din)
Divehi (dv)
Dogri (doi)
Dogrib (dgr)
Duala (dua)
Dyula (dyu)
Eastern Frisian (frs)
Efik (efi)
Egyptian Arabic (arz)
Ekajuk (eka)
Elamite (elx)
Embu (ebu)
Emilian (egl)
Erzya (myv)
Ewe (ee)
Ewondo (ewo)
Extremaduran (ext)
Fang (fan)
Fanti (fat)
Fiji Hindi (hif)
Fon (fon)
Frafra (gur)
Friulian (fur)
Fulah (ff)
Ga (gaa)
Gagauz (gag)
Gan Chinese (gan)
Ganda (lg)
Gayo (gay)
Gbaya (gba)
Geez (gez)
Gheg Albanian (aln)
Ghomala (bbj)
Gilaki (glk)
Gilbertese (gil)
Goan Konkani (gom)
Gondi (gon)
Gorontalo (gor)
Gothic (got)
Grebo (grb)
Gusii (guz)
Gwichʼin (gwi)
Haida (hai)
Hakka Chinese (hak)
Herero (hz)
Hiligaynon (hil)
Hiri Motu (ho)
Hittite (hit)
Hmong (hmn)
Hupa (hup)
Iban (iba)
Ibibio (ibb)
Ido (io)
Iloko (ilo)
Inari Sami (smn)
Ingrian (izh)
Ingush (inh)
Interlingua (ia)
Interlingue (ie)
Inuktitut (iu)
Inupiaq (ik)
Jamaican Creole English (jam)
Jju (kaj)
Jola-Fonyi (dyo)
Judeo-Arabic (jrb)
Judeo-Persian (jpr)
Jutish (jut)
Kabardian (kbd)
Kabuverdianu (kea)
Kabyle (kab)
Kachin (kac)
Kaingang (kgp)
Kako (kkj)
Kalaallisut (kl)
Kalenjin (kln)
Kalmyk (xal)
Kamba (kam)
Kanembu (kbl)
Kanuri (kr)
Kara-Kalpak (kaa)
Karachay-Balkar (krc)
Karelian (krl)
Kashubian (csb)
Kawi (kaw)
Kenyang (ken)
Khasi (kha)
Khotanese (kho)
Khowar (khw)
Kikuyu (ki)
Kimbundu (kmb)
Kinaray-a (krj)
Kinyarwanda (rw)
Kirmanjki (kiu)
Klingon (tlh)
Kom (bkm)
Komi (kv)
Komi-Permyak (koi)
Kongo (kg)
Konkani (kok)
Koro (kfo)
Kosraean (kos)
Kotava (avk)
Koyra Chiini (khq)
Koyraboro Senni (ses)
Kpelle (kpe)
Krio (kri)
Kuanyama (kj)
Kumyk (kum)
Kurukh (kru)
Kutenai (kut)
Kwasio (nmg)
Kʼicheʼ (quc)
Ladino (lad)
Lahnda (lah)
Lakota (lkt)
Lamba (lam)
Langi (lag)
Latgalian (ltg)
Laz (lzz)
Lezghian (lez)
Ligurian (lij)
Limburgish (li)
Lingua Franca Nova (lfn)
Literary Chinese (lzh)
Livonian (liv)
Lojban (jbo)
Lombard (lmo)
Low German (nds)
Lower Silesian (sli)
Lower Sorbian (dsb)
Lozi (loz)
Luba-Katanga (lu)
Luba-Lulua (lua)
Luiseno (lui)
Lule Sami (smj)
Lunda (lun)
Luo (luo)
Luyia (luy)
Maba (mde)
Machame (jmc)
Madurese (mad)
Mafa (maf)
Magahi (mag)
Main-Franconian (vmf)
Maithili (mai)
Makasar (mak)
Makhuwa-Meetto (mgh)
Makonde (kde)
Manchu (mnc)
Mandar (mdr)
Mandingo (man)
Manipuri (mni)
Manx (gv)
Mapuche (arn)
Mari (chm)
Marshallese (mh)
Marwari (mwr)
Masai (mas)
Mazanderani (mzn)
Medumba (byv)
Mende (men)
Mentawai (mwv)
Meru (mer)
Meta (mgo)
Mexican Spanish (es_MX)
Micmac (mic)
Middle Dutch (dum)
Middle English (enm)
Middle French (frm)
Middle High German (gmh)
Middle Irish (mga)
Min Nan Chinese (nan)
Minangkabau (min)
Mingrelian (xmf)
Mirandese (mwl)
Mizo (lus)
Mohawk (moh)
Moksha (mdf)
Mongo (lol)
Morisyen (mfe)
Moroccan Arabic (ary)
Mossi (mos)
Multiple Languages (mul)
Mundang (mua)
Muslim Tat (ttt)
Myene (mye)
N’Ko (nqo)
Nama (naq)
Nauru (na)
Navajo (nv)
Ndonga (ng)
Neapolitan (nap)
Newari (new)
Ngambay (sba)
Ngiemboon (nnh)
Ngomba (jgo)
Nheengatu (yrl)
Nias (nia)
Niuean (niu)
Nogai (nog)
North Ndebele (nd)
Northern Frisian (frr)
Northern Sotho (nso)
Novial (nov)
Nuer (nus)
Nyamwezi (nym)
Nyanja (ny)
Nyankole (nyn)
Nyasa Tonga (tog)
Nyoro (nyo)
Nzima (nzi)
Occitan (oc)
Ojibwa (oj)
Old English (ang)
Old French (fro)
Old High German (goh)
Old Irish (sga)
Old Norse (non)
Old Persian (peo)
Old Provençal (pro)
Oromo (om)
Osage (osa)
Ossetic (os)
Ottoman Turkish (ota)
Pahlavi (pal)
Palatine German (pfl)
Palauan (pau)
Pali (pi)
Pampanga (pam)
Pangasinan (pag)
Papiamento (pap)
Pennsylvania German (pdc)
Phoenician (phn)
Picard (pcd)
Piedmontese (pms)
Plautdietsch (pdt)
Pohnpeian (pon)
Pontic (pnt)
Prussian (prg)
Rajasthani (raj)
Rapanui (rap)
Rarotongan (rar)
Riffian (rif)
Romagnol (rgn)
Romany (rom)
Rombo (rof)
Root (root)
Rotuman (rtm)
Roviana (rug)
Rusyn (rue)
Rwa (rwk)
Saho (ssy)
Sakha (sah)
Samaritan Aramaic (sam)
Samburu (saq)
Sami ភាគ​ខាង​ជើង (se)
Sami ភាគ​ខាង​ត្បូង (sma)
Samogitian (sgs)
Sandawe (sad)
Sango (sg)
Sangu (sbp)
Santali (sat)
Sardinian (sc)
Sasak (sas)
Sassarese Sardinian (sdc)
Saterland Frisian (stq)
Saurashtra (saz)
Scots (sco)
Selayar (sly)
Selkup (sel)
Sena (seh)
Seneca (see)
Serbo-Croatian (sh)
Serer (srr)
Seri (sei)
Shambala (ksb)
Shan (shn)
Shona (sn)
Sichuan Yi (ii)
Sicilian (scn)
Sidamo (sid)
Siksika (bla)
Silesian (szl)
Skolt Sami (sms)
Slave (den)
Soga (xog)
Sogdien (sog)
Soninke (snk)
South Azerbaijani (azb)
South Ndebele (nr)
Southern Altai (alt)
Southern Sotho (st)
Sranan Tongo (srn)
Sukuma (suk)
Sumerian (sux)
Susu (sus)
Swati (ss)
Swiss French (fr_CH)
Syriac (syr)
Tachelhit (shi)
Tagalog (tl)
Tahitian (ty)
Taita (dav)
Talysh (tly)
Tamashek (tmh)
Taroko (trv)
Tasawaq (twq)
Tereno (ter)
Teso (teo)
Tetum (tet)
Tigre (tig)
Timne (tem)
Tiv (tiv)
Tlingit (tli)
Tok Pisin (tpi)
Tokelau (tkl)
Tornedalen Finnish (fit)
Tsakhur (tkr)
Tsakonian (tsd)
Tsimshian (tsi)
Tsonga (ts)
Tswana (tn)
Tulu (tcy)
Tumbuka (tum)
Tunisian Arabic (aeb)
Turoyo (tru)
Tuvalu (tvl)
Tuvinian (tyv)
Twi (tw)
Tyap (kcg)
Udmurt (udm)
Ugaritic (uga)
Umbundu (umb)
Upper Sorbian (hsb)
Vai (vai)
Venda (ve)
Venetian (vec)
Veps (vep)
Volapük (vo)
Võro (vro)
Votic (vot)
Vunjo (vun)
Walloon (wa)
Walser (wae)
Waray (war)
Warlpiri (wbp)
Washo (was)
Wayuu (guc)
West Flemish (vls)
Western Mari (mrj)
Wolaytta (wal)
Wu Chinese (wuu)
Xiang Chinese (hsn)
Yangben (yav)
Yao (yao)
Yapese (yap)
Yemba (ybb)
Zapotec (zap)
Zarma (dje)
Zaza (zza)
Zeelandic (zea)
Zenaga (zen)
Zoroastrian Dari (gbz)
Zuni (zun)
