阿布哈西亚文 (ab)
萨萨克文 (sas)
萨伊文 (mas)
塞茨瓦纳文 (tn)
塞尔库普文 (sel)
塞尔维亚-克罗地亚文 (sh)
塞尔维亚文 (sr)
塞纳文 (seh)
塞内卡文 (see)
散达维文 (sad)
桑布鲁文 (saq)
桑戈文 (sg)
桑古文 (sbp)
桑塔利文 (sat)
僧伽罗文 (si)
上索布文 (hsb)
绍纳文 (sn)
世界文 (eo)
司克司卡文 (bla)
司雷夫文 (den)
斯科特萨米文 (sms)
斯洛伐克文 (sk)
斯洛文尼亚文 (sl)
斯瓦特文 (ss)
斯瓦希里文 (sw)
四川彝文 (ii)
苏格兰盖尔文 (gd)
苏格兰文 (sco)
苏库马文 (suk)
苏里南汤加文 (srn)
苏马文 (sux)
苏苏文 (sus)
宿务文 (ceb)
索加文 (xog)
索拉尼库尔德文 (ckb)
索马里文 (so)
索尼基文 (snk)
塔吉克文 (tg)
塔加洛文 (tl)
塔马齐格特文 (tzm)
塔马奇克文 (tmh)
塔塔尔文 (tt)
塔西提文 (ty)
台塔文 (dav)
太鲁阁文 (trv)
泰卢固文 (te)
泰米尔文 (ta)
泰文 (th)
汤加文 (to)
汤加文（尼亚萨地区） (tog)
特拉华文 (del)
特列纳文 (ter)
特林吉特文 (tli)
特索文 (teo)
特塔姆文 (tet)
特威文 (tw)
滕内文 (tem)
提格雷文 (tig)
提格里尼亚文 (ti)
通布卡文 (tum)
图瓦卢文 (tvl)
图瓦文 (tyv)
土耳其文 (tr)
土库曼文 (tk)
托克劳文 (tkl)
托克皮辛文 (tpi)
瓦尔瑟文 (wae)
瓦拉莫文 (wal)
瓦赖文 (war)
瓦隆文 (wa)
瓦绍文 (was)
瓦伊文 (vai)
旺杜文 (ewo)
望加锡文 (mak)
威尔士文 (cy)
维吾尔文 (ug)
未知语言 (und)
温旧文 (vun)
文达文 (ve)
翁本杜文 (umb)
沃拉普克文 (vo)
沃洛夫文 (wo)
沃提克文 (vot)
乌德穆尔特文 (udm)
乌尔都文 (ur)
乌加里特文 (uga)
乌克兰文 (uk)
乌兹别克文 (uz)
无语言内容 (zxx)
希伯来文 (he)
希尔哈文 (shi)
希腊文 (el)
希里莫图文 (ho)
希利盖农文 (hil)
悉达摩文 (sid)
西班牙文 (es)
西非书面文字 (nqo)
西弗里西亚文 (fy)
西桑海文 (khq)
西西里文 (scn)
下索布文 (dsb)
夏威夷文 (haw)
夏延文 (chy)
现代标准阿拉伯文 (ar_001)
香巴拉文 (ksb)
谢列尔文 (srr)
信德文 (sd)
匈牙利文 (hu)
叙利亚文 (syr)
巽他文 (su)
雅库特文 (sah)
雅浦文 (yap)
亚罕文 (agq)
亚美尼亚文 (hy)
亚齐文 (ace)
洋卞文 (yav)
瑶族文 (yao)
耶姆巴文 (ybb)
伊班文 (iba)
伊比比奥文 (ibb)
伊布文 (ig)
伊多文 (io)
伊洛干诺文 (ilo)
伊纳里萨米文 (smn)
依地文 (yi)
依奴皮维克文 (ik)
意大利文 (it)
因纽特文 (iu)
印地文 (hi)
印度尼西亚文 (id)
印古什文 (inh)
英式英文 (en_GB)
英文 (en)
犹太阿拉伯文 (jrb)
犹太波斯文 (jpr)
约鲁巴文 (yo)
粤语 (yue)
越南文 (vi)
藏文 (bo)
泽纳加文 (zen)
扎扎文 (zza)
乍得阿拉伯文 (shu)
爪哇文 (jv)
哲尔马文 (dje)
中古爱尔兰文 (mga)
中古法文 (frm)
中古高地德文 (gmh)
中古荷兰文 (dum)
中古英文 (enm)
中文 (zh)
朱拉文 (dyo)
壮文 (za)
宗加文 (ts)
宗教斯拉夫文 (cu)
祖鲁文 (zu)
祖尼文 (zun)
Alabama (akz)
Algerian Arabic (arq)
American Sign Language (ase)
Ao Naga (njo)
Araona (aro)
Arpitan (frp)
Badaga (bfq)
Bakhtiari (bqi)
Banjar (bjn)
Batak Toba (bbc)
Bavarian (bar)
Betawi (bew)
Bishnupriya (bpy)
Brahui (brh)
Cajun French (frc)
Capiznon (cps)
Central Dusun (dtp)
Central Yupik (esu)
Chimborazo Highland Quichua (qug)
Egyptian Arabic (arz)
Emilian (egl)
Extremaduran (ext)
Fiji Hindi (hif)
Frafra (gur)
Gan Chinese (gan)
Gheg Albanian (aln)
Gilaki (glk)
Goan Konkani (gom)
Hakka Chinese (hak)
Ingrian (izh)
Jamaican Creole English (jam)
Jutish (jut)
Kaingang (kgp)
Kenyang (ken)
Khowar (khw)
Kinaray-a (krj)
Kirmanjki (kiu)
Kotava (avk)
Krio (kri)
Latgalian (ltg)
Laz (lzz)
Ligurian (lij)
Lingua Franca Nova (lfn)
Literary Chinese (lzh)
Livonian (liv)
Lombard (lmo)
Lower Silesian (sli)
Main-Franconian (vmf)
Mazanderani (mzn)
Mentawai (mwv)
Min Nan Chinese (nan)
Mingrelian (xmf)
Moroccan Arabic (ary)
Muslim Tat (ttt)
Nheengatu (yrl)
Novial (nov)
Palatine German (pfl)
Pennsylvania German (pdc)
Picard (pcd)
Piedmontese (pms)
Plautdietsch (pdt)
Pontic (pnt)
Prussian (prg)
Riffian (rif)
Romagnol (rgn)
Rotuman (rtm)
Roviana (rug)
Rusyn (rue)
Samogitian (sgs)
Sassarese Sardinian (sdc)
Saterland Frisian (stq)
Saurashtra (saz)
Selayar (sly)
Seri (sei)
Silesian (szl)
South Azerbaijani (azb)
Talysh (tly)
Tornedalen Finnish (fit)
Tsakhur (tkr)
Tsakonian (tsd)
Tulu (tcy)
Tunisian Arabic (aeb)
Turoyo (tru)
Venetian (vec)
Veps (vep)
Võro (vro)
Warlpiri (wbp)
Wayuu (guc)
West Flemish (vls)
Western Mari (mrj)
Wu Chinese (wuu)
Xiang Chinese (hsn)
Zeelandic (zea)
Zoroastrian Dari (gbz)
