Abchasisch (ab)
Mittelpersisch (pal)
Modernes Hocharabisch (ar_001)
Mohawk (moh)
Moksha (mdf)
Moldauisch (ro_MD)
Mongo (lol)
Mongolisch (mn)
Mongondou (gor)
Morisyen (mfe)
Mossi-Sprache (mos)
Mundang (mua)
Muskogee-Sprache (mus)
Myene (mye)
N’Ko (nqo)
Nama (naq)
Nauruisch (na)
Navajo (nv)
Ndonga (ng)
Neapolitanisch (nap)
Nepalesisch (ne)
Neumelanesisch (tpi)
Newari (new)
Ngambay (sba)
Ngiemboon (nnh)
Ngomba (jgo)
Nheengatu (yrl)
Nias-Sprache (nia)
Niederdeutsch (nds)
Niederländisch (nl)
Niedersorbisch (dsb)
Niue-Sprache (niu)
Nogai (nog)
Nord-Ndebele-Sprache (nd)
Nord-Samisch (se)
Nord-Sotho-Sprache (nso)
Nordfriesisch (frr)
Norwegisch (no)
Norwegisch Bokmål (nb)
Norwegisch Nynorsk (nn)
Novial (nov)
Nuer (nus)
Nyamwezi-Sprache (nym)
Nyanja-Sprache (ny)
Nyankole (nyn)
Nyoro (nyo)
Nzima (nzi)
Obersorbisch (hsb)
Ojibwa-Sprache (oj)
Okzitanisch (oc)
Oraon-Sprache (kru)
Oriya (or)
Oromo (om)
Osage-Sprache (osa)
Osmanisch (ota)
Ossetisch (os)
Osterinsel-Sprache (rap)
Österreichisches Deutsch (de_AT)
Ostfriesisch (frs)
Palau (pau)
Pali (pi)
Pampanggan-Sprache (pam)
Pangasinan-Sprache (pag)
Pangwe-Sprache (fan)
Panjabi (pa)
Papiamento (pap)
Pare (asa)
Paschtu (ps)
Pennsylvaniadeutsch (pdc)
Persisch (fa)
Pfälzisch (pfl)
Phönikisch (phn)
Picardisch (pcd)
Piemontesisch (pms)
Plautdietsch (pdt)
Polnisch (pl)
Ponapeanisch (pon)
Pontisch (pnt)
Portugiesisch (pt)
Quechua (qu)
Rajasthani (raj)
Rarotonganisch (rar)
Rätoromanisch (rm)
Romagnol (rgn)
Romani (rom)
Rombo (rof)
Root (root)
Rotse-Sprache (loz)
Rotumanisch (rtm)
Roviana (rug)
Ruandisch (rw)
Rukiga (cgg)
Rumänisch (ro)
Rundi-Sprache (rn)
Russinisch (rue)
Russisch (ru)
Rwa (rwk)
Saho (ssy)
Sakisch (kho)
Samaritanisch (sam)
Samburu (saq)
Samoanisch (sm)
Samogitisch (sgs)
Sandawe-Sprache (sad)
Sango (sg)
Sangu (sbp)
Sanskrit (sa)
Santali (sat)
Sardisch (sc)
Sasak (sas)
Sassarisch (sdc)
Saterfriesisch (stq)
Saurashtra (saz)
Schan-Sprache (shn)
Schlesisch (sli)
Schlesisch (Polen) (szl)
Schottisch (sco)
Schottisches Gälisch (gd)
Schwedisch (sv)
Schweizer Französisch (fr_CH)
Schweizer Hochdeutsch (de_CH)
Schweizerdeutsch (gsw)
Seeländisch (zea)
Selayar (sly)
Selkupisch (sel)
Sena (seh)
Seneca (see)
Serbisch (sr)
Serbo-Kroatisch (sh)
Serer-Sprache (srr)
Seri (sei)
Shambala (ksb)
Shona (sn)
Sidamo (sid)
Sindhi (sd)
Singhalesisch (si)
Sizilianisch (scn)
Skolt-Lappisch (sms)
Slave (den)
Slowakisch (sk)
Slowenisch (sl)
Soga (xog)
Sogdisch (sog)
Somali (so)
Soninke-Sprache (snk)
Sorani (ckb)
Spanisch (es)
Srananisch (srn)
Suaheli (sw)
Süd-Altaisch (alt)
Süd-Ndebele-Sprache (nr)
Süd-Samisch (sma)
Süd-Sotho-Sprache (st)
Südaserbaidschanisch (azb)
Sukuma-Sprache (suk)
Sumerisch (sux)
Sundanesisch (su)
Susu (sus)
Swazi (ss)
Syrisch (syr)
Tadschikisch (tg)
Tagalog (tl)
Tahitisch (ty)
Taita (dav)
Talisch (tly)
Tamaseq (tmh)
Tamazight (zgh)
Tamilisch (ta)
Tarifit (rif)
Taroko (trv)
Tasawaq (twq)
Taschelhit (shi)
Tatarisch (tt)
Tatisch (ttt)
Telugu (te)
Temne (tem)
Tereno-Sprache (ter)
Teso (teo)
Tetum-Sprache (tet)
Thailändisch (th)
Tibetisch (bo)
Tigre (tig)
Tigrinja (ti)
Tiv-Sprache (tiv)
Tlingit-Sprache (tli)
Tokelauanisch (tkl)
Tongaisch (to)
Trukesisch (chk)
Tsachurisch (tkr)
Tsakonisch (tsd)
Tschadisch-Arabisch (shu)
Tschagataisch (chg)
Tschechisch (cs)
Tscheremissisch (chm)
Tschetschenisch (ce)
Tschuwaschisch (cv)
Tsimshian-Sprache (tsi)
Tsonga (ts)
Tsonga-Sprache (tog)
Tswana-Sprache (tn)
Tulu (tcy)
Tumbuka-Sprache (tum)
Tunesisches Arabisch (aeb)
Türkisch (tr)
Turkmenisch (tk)
Turoyo (tru)
Tuwinisch (tyv)
Twi (tw)
Tyap (kcg)
Udmurtisch (udm)
Ugaritisch (uga)
Uigurisch (ug)
Ukrainisch (uk)
Unbestimmte Sprache (und)
Ungarisch (hu)
Urdu (ur)
Usbekisch (uz)
Vai (vai)
Venda-Sprache (ve)
Venetisch (vec)
Vietnamesisch (vi)
Volapük (vo)
Võro (vro)
Vunjo (vun)
Walamo-Sprache (wal)
Walisisch (cy)
Wallonisch (wa)
Walser-Dialekte (wae)
Waray (war)
Warlpiri (wbp)
Washo-Sprache (was)
Wayúu (guc)
Weißrussisch (be)
Wepsisch (vep)
Westflämisch (vls)
Westfriesisch (fy)
Wolof (wo)
Wotisch (vot)
Wu (wuu)
Xhosa (xh)
Xiang (hsn)
Yangben (yav)
Yao-Sprache (yao)
Yapesisch (yap)
Yemba (ybb)
Yi (ii)
Yoruba (yo)
Zapotekisch (zap)
Zarma (dje)
Zaza (zza)
Zenaga (zen)
Zentral-Alaska-Yupik (esu)
Zentral-Dusun (dtp)
Zentralatlas-Tamazight (tzm)
Zhuang (za)
Zulu (zu)
Zuni-Sprache (zun)
