丁卡文 (din)
克罗地亚文 (hr)
别札文 (bej)
别姆巴文 (bem)
努埃尔文 (nus)
岗德文 (gon)
希尔哈文 (shi)
希伯来文 (he)
希利盖农文 (hil)
希里莫图文 (ho)
希腊文 (el)
库尔德文 (ku)
库特内文 (kut)
库梅克文 (kum)
库鲁克文 (kru)
彻罗基文 (chr)
沃拉普克文 (vo)
沃洛夫文 (wo)
沃提克文 (vot)
犹太波斯文 (jpr)
犹太阿拉伯文 (jrb)
纳马文 (naq)
纳瓦霍文 (nv)
纽埃文 (niu)
芒戈文 (lol)
达扎葛文 (dzg)
达尔格瓦文 (dar)
达科他文 (dak)
迈蒂利文 (mai)
邦板牙文 (pam)
邦阿西楠文 (pag)
佩瓦扬文 (chp)
依奴皮维克文 (ik)
依地文 (yi)
凯尔特文 (kw)
和田文 (kho)
国际文字 (ia)
国际文字（E） (ie)
图瓦文 (tyv)
图瓦卢文 (tvl)
奇加文 (cgg)
姆耶内文 (mye)
孟加拉文 (bn)
宗加文 (ts)
宗教斯拉夫文 (cu)
帕皮亚门托文 (pap)
帕劳文 (pau)
帕拉维文 (pal)
拉丁文 (la)
拉丁美洲西班牙文 (es_419)
拉亨达文 (lah)
拉帕努伊文 (rap)
拉罗汤加文 (rar)
拉科塔文 (lkt)
拉迪诺文 (lad)
拉贾斯坦文 (raj)
拉脱维亚文 (lv)
旺杜文 (ewo)
昂加文 (anp)
林加拉文 (ln)
欧洲西班牙文 (es_ES)
欧洲葡萄牙文 (pt_PT)
法文 (fr)
法罗文 (fo)
波兰文 (pl)
波纳佩文 (pon)
波斯文 (fa)
波斯尼亚文 (bs)
泽纳加文 (zen)
现代标准阿拉伯文 (ar_001)
绍纳文 (sn)
经典尼瓦尔文 (nwc)
经典叙利亚文 (syc)
罗马尼亚文 (ro)
罗瓦文 (rwk)
罗曼什文 (rm)
芬兰文 (fi)
芳格文 (fan)
芳蒂文 (fat)
苏马文 (sux)
苏库马文 (suk)
苏里南汤加文 (srn)
苏苏文 (sus)
苏格兰文 (sco)
苏格兰盖尔文 (gd)
金邦杜文 (kmb)
阿卡德文 (akk)
阿尔巴尼亚文 (sq)
阿布哈西亚文 (ab)
阿弗里希利文 (afh)
阿瓦尔文 (av)
阿瓦乔文 (awa)
阿乔利文 (ach)
阿伊努文 (ain)
阿当梅文 (ada)
阿库色文 (bss)
阿灿文 (cch)
阿姆哈拉文 (am)
阿拉瓦克文 (arw)
阿拉米文 (arc)
阿拉伯文 (ar)
阿拉贡文 (an)
阿拉帕霍文 (arp)
阿法文 (aa)
阿罗马尼亚文 (rup)
阿肯文 (ak)
阿苏文 (asa)
阿迪何文 (ady)
阿留申文 (ale)
阿维斯塔文 (ae)
阿斯图里亚思特文 (ast)
阿塞拜疆文 (az)
阿萨姆文 (as)
俄文 (ru)
俄日亚文 (myv)
保加利亚文 (bg)
信德文 (sd)
南阿尔泰文 (alt)
南非荷兰文 (af)
南恩德贝勒文 (nr)
南索托文 (st)
南萨米文 (sma)
叙利亚文 (syr)
哈萨克文 (kk)
契布卡文 (chb)
契努克文 (chn)
威尔士文 (cy)
律勒欧萨米文 (smj)
查加文 (chg)
查莫罗文 (ch)
标准摩洛哥塔马塞特文 (zgh)
洋卞文 (yav)
洛兹文 (loz)
科米-彼尔米亚克文 (koi)
科米文 (kv)
科西嘉文 (co)
科姆文 (bkm)
科罗文 (kfo)
科洛涅达罗文 (gor)
科斯拉伊文 (kos)
科普特文 (cop)
科隆文 (ksh)
科萨文 (xh)
科摩罗文 (swb)
美式英文 (en_US)
耶姆巴文 (ybb)
胡帕文 (hup)
英文 (en)
英式英文 (en_GB)
迦约文 (gay)
迪尤拉文 (dyu)
迪维希文 (dv)
香巴拉文 (ksb)
俾路支文 (bal)
哥特文 (got)
哲尔马文 (dje)
埃克丘克文 (eka)
埃维文 (ee)
埃菲克文 (efi)
夏延文 (chy)
夏威夷文 (haw)
宽亚玛文 (kj)
恩东加文 (ng)
恩布文 (ebu)
恩甘澎文 (nnh)
恩艮巴 (jgo)
恩济马文 (nzi)
拿波里文 (nap)
挪威文 (no)
挪威尼诺斯克文 (nn)
挪威博克马尔文 (nb)
旁遮普文 (pa)
朗吉文 (lag)
根语言 (root)
格列博文 (grb)
格陵兰文 (kl)
格鲁吉亚文 (ka)
桑戈文 (sg)
桑古文 (sbp)
桑布鲁文 (saq)
桑塔利文 (sat)
泰文 (th)
泰卢固文 (te)
泰米尔文 (ta)
海地文 (ht)
海达文 (hai)
爱尔兰文 (ga)
爱沙尼亚文 (et)
特列纳文 (ter)
特拉华文 (del)
特林吉特文 (tli)
特威文 (tw)
特索文 (teo)
特塔姆文 (tet)
班巴拉文 (bm)
祖尼文 (zun)
祖鲁文 (zu)
索马里文 (so)
索加文 (xog)
索尼基文 (snk)
索拉尼库尔德文 (ckb)
翁本杜文 (umb)
诺盖文 (nog)
高棉文 (km)
基切文 (quc)
基隆迪文 (rn)
宿务文 (ceb)
悉达摩文 (sid)
捷克文 (cs)
掸文 (shn)
曼丁哥文 (man)
曼尼普里文 (mni)
曼达尔文 (mdr)
望加锡文 (mak)
梅敦巴文 (byv)
梅鲁文 (mer)
梅塔 (mgo)
梵文 (sa)
淋布尔吉文 (li)
盖丘亚文 (qu)
维吾尔文 (ug)
荷兰文 (nl)
莫西文 (mos)
莫克沙文 (mdf)
莱兹依昂文 (lez)
通布卡文 (tum)
都阿拉文 (dua)
博多文 (brx)
博杰普尔文 (bho)
奥吉布瓦文 (oj)
奥地利德文 (de_AT)
奥托曼土耳其文 (ota)
奥克西唐文 (oc)
奥里亚文 (or)
奥洛莫文 (om)
奥塞梯文 (os)
奥萨格文 (osa)
巽他文 (su)
提格里尼亚文 (ti)
提格雷文 (tig)
散达维文 (sad)
斐济文 (fj)
斯瓦希里文 (sw)
斯瓦特文 (ss)
斯洛文尼亚文 (sl)
斯洛伐克文 (sk)
斯科特萨米文 (sms)
普什图文 (ps)
普罗文斯文 (pro)
温旧文 (vun)
粤语 (yue)
缅甸文 (my)
腓尼基文 (phn)
菲律宾文 (fil)
谢列尔文 (srr)
越南文 (vi)
逻辑文 (jbo)
隆达文 (lun)
雅库特文 (sah)
雅浦文 (yap)
韩文 (ko)
鲁巴加丹加文 (lu)
鲁巴鲁瓦文 (lua)
塔马齐格特文 (tzm)
塔马奇克文 (tmh)
塔加洛文 (tl)
塔吉克文 (tg)
塔西提文 (ty)
塔塔尔文 (tt)
塞内卡文 (see)
塞尔库普文 (sel)
塞尔维亚-克罗地亚文 (sh)
塞尔维亚文 (sr)
塞纳文 (seh)
塞茨瓦纳文 (tn)
意大利文 (it)
楚瓦什文 (cv)
楚吾克文 (chk)
满文 (mnc)
瑙鲁文 (na)
瑞士法文 (fr_CH)
瑞士高地德文 (de_CH)
瑞士德文 (gsw)
瑞典文 (sv)
简体中文 (zh_Hans)
萨丁文 (sc)
萨伊文 (mas)
萨玛利亚文 (sam)
萨波蒂克文 (zap)
萨萨克文 (sas)
萨摩亚文 (sm)
萨霍文 (ssy)
葛巴亚文 (gba)
葡萄牙文 (pt)
蒂夫文 (tiv)
蒂姆西亚文 (tsi)
路易塞诺文 (lui)
僧伽罗文 (si)
瑶族文 (yao)
蒙古文 (mn)
蒙当文 (mua)
豪萨文 (ha)
赫梯文 (hit)
赫雷罗文 (hz)
赫蒙文 (hmn)
德文 (de)
摩尔多瓦文 (ro_MD)
摩霍克文 (moh)
滕内文 (tem)
墨西哥西班牙文 (es_MX)
澳大利亚英文 (en_AU)
繁体中文 (zh_Hant)
藏文 (bo)
Alabama (akz)
Algerian Arabic (arq)
American Sign Language (ase)
Ao Naga (njo)
Araona (aro)
Arpitan (frp)
Badaga (bfq)
Bakhtiari (bqi)
Banjar (bjn)
Batak Toba (bbc)
Bavarian (bar)
Betawi (bew)
Bishnupriya (bpy)
Brahui (brh)
Cajun French (frc)
Capiznon (cps)
Central Dusun (dtp)
Central Yupik (esu)
Chimborazo Highland Quichua (qug)
Egyptian Arabic (arz)
Emilian (egl)
Extremaduran (ext)
Fiji Hindi (hif)
Frafra (gur)
Gan Chinese (gan)
Gheg Albanian (aln)
Gilaki (glk)
Goan Konkani (gom)
Hakka Chinese (hak)
Ingrian (izh)
Jamaican Creole English (jam)
Jutish (jut)
Kaingang (kgp)
Kenyang (ken)
Khowar (khw)
Kinaray-a (krj)
Kirmanjki (kiu)
Kotava (avk)
Krio (kri)
Latgalian (ltg)
Laz (lzz)
Ligurian (lij)
Lingua Franca Nova (lfn)
Literary Chinese (lzh)
Livonian (liv)
Lombard (lmo)
Lower Silesian (sli)
Main-Franconian (vmf)
Mazanderani (mzn)
Mentawai (mwv)
Min Nan Chinese (nan)
Mingrelian (xmf)
Moroccan Arabic (ary)
Muslim Tat (ttt)
Nheengatu (yrl)
Novial (nov)
Palatine German (pfl)
Pennsylvania German (pdc)
Picard (pcd)
Piedmontese (pms)
Plautdietsch (pdt)
Pontic (pnt)
Prussian (prg)
Riffian (rif)
Romagnol (rgn)
Rotuman (rtm)
Roviana (rug)
Rusyn (rue)
Samogitian (sgs)
Sassarese Sardinian (sdc)
Saterland Frisian (stq)
Saurashtra (saz)
Selayar (sly)
Seri (sei)
Silesian (szl)
South Azerbaijani (azb)
Talysh (tly)
Tornedalen Finnish (fit)
Tsakhur (tkr)
Tsakonian (tsd)
Tulu (tcy)
Tunisian Arabic (aeb)
Turoyo (tru)
Venetian (vec)
Veps (vep)
Võro (vro)
Warlpiri (wbp)
Wayuu (guc)
West Flemish (vls)
Western Mari (mrj)
Wu Chinese (wuu)
Xiang Chinese (hsn)
Zeelandic (zea)
Zoroastrian Dari (gbz)
