ກຣີກ (el)
ອຳບັນດູ (umb)
ອຳຮາຣິກ (am)
ອິກໂບ (ig)
ອິຕາລຽນ (it)
ອິນກັຊ (inh)
ອິນໂດເນຊຽນ (id)
ອິນເຕີລິງກຣີ (ie)
ອິນເຕີລິງລົວ (ia)
ອິນນຸກຕິຕັດ (iu)
ອິນນູປຽກ (ik)
ອິວາ (ee)
ອີກາຈັກ (eka)
ອີໂດ (io)
ອີນາຣິຊາມິ (smn)
ອີຟິກ (efi)
ອີຢິບບູຮານ (egy)
ອີຣິຊເກົ່າ (sga)
ອີລາໄມ (elx)
ອີວອນດູ (ewo)
ອຸສເບກ (uz)
ອຸຍເຄີ (ug)
ອຸດມັດ (udm)
ອູຣະດູ (ur)
ເອສໂຕນຽນ (et)
ເອສເປີຣັນໂຕ (eo)
ເອດີຮິ (ady)
ເອັນໂກ (nqo)
ເອັນດອງກາ (ng)
ເອັນເດເບເລເໜືອ (nd)
ເອັມບູ (ebu)
ເອີຍາ (myv)
ແອນຈີກາ (anp)
ແອນຊຽນກຣີກ (grc)
ແອບຄາຊຽນ (ab)
ແອຟີຮີລີ (afh)
ແອັກຊີເນັສ (ace)
ໂອຈິບວາ (oj)
ໂອແຊກ (osa)
ໂອຣິຢາ (or)
ໂອໂຣໂມ (om)
ໄອສແລນດິກ (is)
ໄອນູ (ain)
ໄອບານ (iba)
ໄອໄບໄບໂອ (ibb)
ໄອຣິສ (ga)
ໄອລິດກາງ (mga)
ໄອໂລໂກ (ilo)
ຮັງກາຣຽນ (hu)
ຮາໄວອຽນ (haw)
ຮິດໄຕ (hit)
ຮິນດິ (hi)
ຮິຣິໄກນອນ (hil)
ຮິຣິໂມຕູ (ho)
ຮີບຣິວ (he)
ຮູປາ (hup)
ເຮິຮິໂຣ (hz)
ເຮົາຊາ (ha)
ໂຮຊາ (xh)
ໄຮດາ (hai)
ໄຮຕຽນ (ht)
Alabama (akz)
Algerian Arabic (arq)
American Sign Language (ase)
Ao Naga (njo)
Araona (aro)
Arpitan (frp)
Badaga (bfq)
Bakhtiari (bqi)
Banjar (bjn)
Batak Toba (bbc)
Bavarian (bar)
Betawi (bew)
Bishnupriya (bpy)
Brahui (brh)
Cajun French (frc)
Capiznon (cps)
Central Dusun (dtp)
Central Yupik (esu)
Chimborazo Highland Quichua (qug)
Egyptian Arabic (arz)
Emilian (egl)
Extremaduran (ext)
Fiji Hindi (hif)
Frafra (gur)
Gan Chinese (gan)
Gheg Albanian (aln)
Gilaki (glk)
Goan Konkani (gom)
Hakka Chinese (hak)
Ingrian (izh)
Jamaican Creole English (jam)
Jutish (jut)
Kaingang (kgp)
Kenyang (ken)
Khowar (khw)
Kinaray-a (krj)
Kirmanjki (kiu)
Kotava (avk)
Krio (kri)
Kʼicheʼ (quc)
Latgalian (ltg)
Laz (lzz)
Ligurian (lij)
Lingua Franca Nova (lfn)
Literary Chinese (lzh)
Livonian (liv)
Lombard (lmo)
Lower Silesian (sli)
Main-Franconian (vmf)
Mazanderani (mzn)
Mentawai (mwv)
Min Nan Chinese (nan)
Mingrelian (xmf)
Moroccan Arabic (ary)
Muslim Tat (ttt)
Nheengatu (yrl)
Novial (nov)
Palatine German (pfl)
Pennsylvania German (pdc)
Picard (pcd)
Piedmontese (pms)
Plautdietsch (pdt)
Pontic (pnt)
Prussian (prg)
Riffian (rif)
Romagnol (rgn)
Rotuman (rtm)
Roviana (rug)
Rusyn (rue)
Samogitian (sgs)
Sassarese Sardinian (sdc)
Saterland Frisian (stq)
Saurashtra (saz)
Selayar (sly)
Seneca (see)
Seri (sei)
Silesian (szl)
South Azerbaijani (azb)
Talysh (tly)
Tornedalen Finnish (fit)
Tsakhur (tkr)
Tsakonian (tsd)
Tulu (tcy)
Tunisian Arabic (aeb)
Turoyo (tru)
Venetian (vec)
Veps (vep)
Võro (vro)
Warlpiri (wbp)
Wayuu (guc)
West Flemish (vls)
Western Mari (mrj)
Wu Chinese (wuu)
Xiang Chinese (hsn)
Zeelandic (zea)
Zoroastrian Dari (gbz)
