абхазька (ab)
кумицька (kum)
кунама (kj)
курдська (ku)
курдська (сорані) (ckb)
курукх (kru)
кутенаї (kut)
кучін (gwi)
кхасі (kha)
кхмерська (km)
кхоса (xh)
ладіно (lad)
лакота (lkt)
ламба (lam)
лангі (lag)
ланда (lah)
лаоська (lo)
латвійська (lv)
латинська (la)
лезгінська (lez)
литовська (lt)
лімбургійська (li)
лінгала (ln)
ложбан (jbo)
лозі (loz)
луба-катанга (lu)
луба-лулуа (lua)
луїсеньо (lui)
луйя (luy)
лунда (lun)
луо (luo)
лушей (lus)
люксембурзька (lb)
маба (mde)
маврикійська креольська (mfe)
магавк (moh)
магадхі (mag)
мадурська (mad)
майтхілі (mai)
макасарська (mak)
македонська (mk)
маконде (kde)
макува-меето (mgh)
малагасійська (mg)
малайська (ms)
малаялам (ml)
мальтійська (mt)
мандарська (mdr)
мандінго (man)
маніпурі (mni)
манчжурська (mnc)
маорі (mi)
маратхі (mr)
марварі (mwr)
марійська (chm)
маршалльська (mh)
масаї (mas)
мафа (maf)
мачаме (jmc)
медумба (byv)
менде (men)
менкська (gv)
меру (mer)
мета (mgo)
миін (mye)
мікмак (mic)
мінангкабау (min)
мірандська (mwl)
мокша (mdf)
молдавська (ro_MD)
монго (lol)
монгольська (mn)
моссі (mos)
мунданг (mua)
навахо (nv)
нама (naq)
науру (na)
нгамбай (sba)
нгємбун (nnh)
нгомба (jgo)
ндебелє південна (nr)
ндебелє північна (nd)
ндонга (ng)
неаполітанська (nap)
неварі (new)
неварі класична (nwc)
невідома мова (und)
немає мовного вмісту (zxx)
непальська (ne)
нзіма (nzi)
нижньолужицька (dsb)
нижньонімецька (nds)
ніаська (nia)
німецька (de)
німецька швейцарська (gsw)
ніуе (niu)
нко (nqo)
ногайська (nog)
норвезька (no)
нуер (nus)
ньоро (nyo)
ньямвезі (nym)
ньянджа (ny)
ньянколе (nyn)
ньяса тонга (tog)
нюношк (Норвегія) (nn)
оджібва (oj)
окитан (oc)
орія (or)
оромо (om)
осейдж (osa)
осетинська (os)
османська (ota)
палауанська (pau)
палі (pi)
пампанга (pam)
пангасінанська (pag)
панджабі (pa)
пап’яменто (pap)
перська (fa)
пехлеві (pal)
південноалтайська (alt)
польська (pl)
понапе (pon)
португальська (pt)
португальська (Європа) (pt_PT)
пушту (ps)
раджастхані (raj)
рапануї (rap)
раротонга (rar)
Рва (rwk)
ретороманська (rm)
ромбо (rof)
російська (ru)
румунська (ro)
рунді (rn)
саамська інарі (smn)
саамська луле (smj)
саамська південна (sma)
саамська північна (se)
саамська скольт (sms)
самаритянська арамейська (sam)
самбуру (saq)
самоанська (sm)
санго (sg)
сангу (sbp)
сандаве (sad)
санскрит (sa)
сантальська (sat)
сапотекська (zap)
сардинська (sc)
сасакська (sas)
сахо (ssy)
себуанська (ceb)
селькупська (sel)
сена (seh)
сенека (see)
сербська (sr)
сербсько-хорватська (sh)
середньоанглійська (enm)
середньоверхньонімецька (gmh)
середньоірландська (mga)
середньонідерландська (dum)
середньофранцузька (frm)
серер (srr)
сингальська (si)
сирійська (syr)
сирійська класична (syc)
сицилійська (scn)
сичуань (ii)
сідамо (sid)
сіксіка (bla)
сіндхі (sd)
сісваті (ss)
слейв (den)
словацька (sk)
словенська (sl)
сога (xog)
согдійська (sog)
сомалі (so)
сонінке (snk)
сото південна (st)
сото північна (nso)
сранан тонго (srn)
стандартна марокканська берберська (zgh)
суахілі (sw)
сукума (suk)
сунданська (su)
сусу (sus)
сучасна стандартна арабська (ar_001)
тагальська (tl)
таджицька (tg)
таіта (dav)
таїтянська (ty)
тайська (th)
тамашек (tmh)
тамільська (ta)
тароко (trv)
тасавак (twq)
татарська (tt)
тачеліт (shi)
тві (tw)
телугу (te)
темне (tem)
терено (ter)
тесо (teo)
тетум (tet)
тибетська (bo)
тигре (tig)
тигринья (ti)
тіап (kcg)
тів (tiv)
тлінгіт (tli)
ток-пісін (tpi)
токелау (tkl)
тонганська (to)
тсвана (tn)
тсонга (ts)
тувалу (tvl)
тувинська (tyv)
тумбука (tum)
турецька (tr)
туркменська (tk)
угаритська (uga)
угорська (hu)
удмуртська (udm)
узбецька (uz)
уйгурська (ug)
українська (uk)
умбунду (umb)
урду (ur)
фанг (fan)
фанті (fat)
фарерська (fo)
фіджі (fj)
філіппінська (fil)
фінікійсько-пунічна (phn)
фінська (fi)
фламандська (nl_BE)
фон (fon)
французька (fr)
фризька північна (frr)
фризька східна (frs)
фріульська (fur)
фула (ff)
хайда (hai)
хауса (ha)
хілігайнон (hil)
хірі-моту (ho)
хітіті (hit)
хмонг (hmn)
хорватська (hr)
хотаносакська (kho)
хупа (hup)
центральномароканська тамазіт (tzm)
церковнослов’янська (cu)
циганська (rom)
цимшиан (tsi)
чагатайська (chg)
чадійська арабська (shu)
чаморро (ch)
чейєнн (chy)
черокі (chr)
чеська (cs)
чеченська (ce)
чжуан (za)
чинук жаргон (chn)
чібча (chb)
чіпев’ян (chp)
чокто (cho)
чуваська (cv)
чуукська (chk)
шамбала (ksb)
шанська (shn)
шведська (sv)
шона (sn)
шотландська (sco)
шумерська (sux)
яванська (jv)
якутська (sah)
янгбен (yav)
яо (yao)
яп (yap)
японська (ja)
Alabama (akz)
Algerian Arabic (arq)
American English (en_US)
American Sign Language (ase)
Ao Naga (njo)
Araona (aro)
Arpitan (frp)
Australian English (en_AU)
Austrian German (de_AT)
Badaga (bfq)
Bakhtiari (bqi)
Banjar (bjn)
Batak Toba (bbc)
Bavarian (bar)
Betawi (bew)
Bishnupriya (bpy)
Brahui (brh)
Brazilian Portuguese (pt_BR)
Cajun French (frc)
Canadian English (en_CA)
Canadian French (fr_CA)
Capiznon (cps)
Central Dusun (dtp)
Central Yupik (esu)
Chimborazo Highland Quichua (qug)
Egyptian Arabic (arz)
Emilian (egl)
Extremaduran (ext)
Fiji Hindi (hif)
Frafra (gur)
Gan Chinese (gan)
Gheg Albanian (aln)
Gilaki (glk)
Goan Konkani (gom)
Hakka Chinese (hak)
Ingrian (izh)
Jamaican Creole English (jam)
Jutish (jut)
Kaingang (kgp)
Kenyang (ken)
Khowar (khw)
Kinaray-a (krj)
Kirmanjki (kiu)
Kotava (avk)
Krio (kri)
Latgalian (ltg)
Latin American Spanish (es_419)
Laz (lzz)
Ligurian (lij)
Lingua Franca Nova (lfn)
Literary Chinese (lzh)
Livonian (liv)
Lombard (lmo)
Lower Silesian (sli)
Main-Franconian (vmf)
Mazanderani (mzn)
Mentawai (mwv)
Mexican Spanish (es_MX)
Min Nan Chinese (nan)
Mingrelian (xmf)
Moroccan Arabic (ary)
Muslim Tat (ttt)
Nheengatu (yrl)
Novial (nov)
Palatine German (pfl)
Pennsylvania German (pdc)
Picard (pcd)
Piedmontese (pms)
Plautdietsch (pdt)
Pontic (pnt)
Prussian (prg)
Riffian (rif)
Romagnol (rgn)
Rotuman (rtm)
Roviana (rug)
Rusyn (rue)
Samogitian (sgs)
Sassarese Sardinian (sdc)
Saterland Frisian (stq)
Saurashtra (saz)
Selayar (sly)
Seri (sei)
Silesian (szl)
Simplified Chinese (zh_Hans)
South Azerbaijani (azb)
Swiss French (fr_CH)
Talysh (tly)
Tornedalen Finnish (fit)
Traditional Chinese (zh_Hant)
Tsakhur (tkr)
Tsakonian (tsd)
Tulu (tcy)
Tunisian Arabic (aeb)
Turoyo (tru)
Venetian (vec)
Veps (vep)
Võro (vro)
Warlpiri (wbp)
Wayuu (guc)
West Flemish (vls)
Western Mari (mrj)
Wu Chinese (wuu)
Xiang Chinese (hsn)
Zeelandic (zea)
Zoroastrian Dari (gbz)
