丁卡文 (din)
台塔文 (dav)
史瓦希里文 (sw)
史瓦希里文（剛果） (swc)
四川彝文 (ii)
尼瓦爾文 (new)
尼亞斯文 (nia)
尼泊爾文 (ne)
尼茲馬文 (nzi)
尼揚科萊文 (nyn)
尼揚韋齊文 (nym)
尼揚賈文 (ny)
尼奧囉文 (nyo)
布列斯符號 (zbl)
布列塔尼文 (br)
布吉斯文 (bug)
布里阿特文 (bua)
布拉杰文 (bra)
布拉維文 (brh)
布魯文 (bum)
弗拉弗拉文 (gur)
弗留利文 (fur)
未知語言 (und)
瓜拉尼文 (gn)
瓦尤文 (guc)
瓦伊文 (vai)
瓦拉莫文 (wal)
瓦紹文 (was)
瓦隆文 (wa)
瓦瑞文 (war)
瓦瑟文 (wae)
甘拜文 (sba)
白俄羅斯文 (be)
皮埃蒙特文 (pms)
立陶宛文 (lt)
伊比比奧文 (ibb)
伊布文 (ig)
伊多文 (io)
伊洛闊文 (ilo)
伊班文 (iba)
伊納裡薩米文 (smn)
冰島文 (is)
列茲干文 (lez)
匈牙利文 (hu)
印古什文 (inh)
印尼文 (id)
吉拉基文 (glk)
吉庫尤文 (ki)
吉茲文 (gez)
吉普賽文 (rom)
吉爾吉斯文 (ky)
吉爾伯特群島文 (gil)
吐瓦魯文 (tvl)
因紐特文 (iu)
圭契文 (gwi)
多格里布文 (dgr)
多格來文 (doi)
多種語言 (mul)
夸西奧文 (nmg)
托比辛文 (tpi)
托克勞文 (tkl)
托爾訥芬蘭文 (fit)
朱拉文 (dyo)
米克馬克文 (mic)
米南卡堡文 (min)
米蘭德斯文 (mwl)
艾卡朱克文 (eka)
艾馬拉文 (ay)
西弗里西亞文 (fy)
西西里文 (scn)
西佛蘭德文 (vls)
西利西亞文 (szl)
西里莫圖土文 (ho)
西桑海文 (khq)
西班牙文 (es)
西馬裏文 (mrj)
西蘭文 (zea)
低地德文 (nds)
佛羅文 (vro)
佛蘭芒文 (nl_BE)
克里米亞半島的土耳其文；克里米亞半島的塔塔爾文 (crh)
克里克文 (mus)
克里奧文（模里西斯） (mfe)
克佩列文 (kpe)
克林貢文 (tlh)
克裡文 (cr)
克羅埃西亞文 (hr)
別姆巴文 (bem)
利古里亞文 (lij)
利伏尼亞文 (liv)
努埃爾文 (nus)
吳語 (wuu)
坎那達文 (kn)
坎剛文 (kgp)
壯文 (za)
希伯來文 (he)
希利蓋農文 (hil)
希達摩文 (sid)
希爾哈文 (shi)
希臘文 (el)
庇卡底文 (pcd)
杜亞拉文 (dua)
沃拉普克文 (vo)
沃洛夫文 (wo)
沃提克文 (vot)
沃蒂艾克文 (udm)
沙伊安文 (chy)
沙特菲士蘭文 (stq)
芒戈文 (lol)
貝扎文 (bej)
貝納文 (bez)
貝塔維文 (bew)
車臣文 (ce)
里菲亞諾文 (rif)
亞罕文 (agq)
亞美尼亞文 (hy)
亞塞拜然文 (az)
亞齊文 (ace)
依奴皮維克文 (ik)
依汪都文 (ewo)
和闐文 (kho)
坦米爾文 (ta)
奇加文 (cgg)
奇布查文 (chb)
奇佩瓦揚文 (chp)
奈恩加圖文 (yrl)
姆本杜文 (umb)
姆耶內文 (mye)
孟文 (hmn)
孟加拉文 (bn)
宗卡文 (dz)
宗教斯拉夫文 (cu)
尚巴拉文 (ksb)
岡德文 (gon)
帕皮阿門托文 (pap)
帛琉文 (pau)
拉丁文 (la)
拉丁美洲西班牙文 (es_419)
拉亨達文 (lah)
拉科塔文 (lkt)
拉迪諾文 (lad)
拉特加萊文 (ltg)
拉茲文 (lzz)
拉脫維亞文 (lv)
拉賈斯坦諸文 (raj)
拉羅通加文 (rar)
昂加文 (anp)
明打威文 (mwv)
明格列爾文 (xmf)
東加文 (to)
東加文（尼亞薩） (tog)
東弗里西亞文 (frs)
東桑海文 (ses)
林加拉文 (ln)
林堡文 (li)
欧洲西班牙文 (es_ES)
欧洲葡萄牙文 (pt_PT)
法文 (fr)
法羅文 (fo)
法蘭克-普羅旺斯文 (frp)
波士尼亞文 (bs)
波那貝文 (pon)
波斯文 (fa)
波蘭文 (pl)
肯揚文 (ken)
芬蘭文 (fi)
芳族文 (fan)
芳蒂文 (fat)
金邦杜文 (kmb)
門德文 (men)
門諾低地德文 (pdt)
阿卡德文 (akk)
阿布哈茲文 (ab)
阿弗里希利文 (afh)
阿瓦文 (awa)
阿瓦爾文 (av)
阿伊努文 (ain)
阿坎文 (ak)
阿沃那加文 (njo)
阿姆哈拉文 (am)
阿拉巴馬文 (akz)
阿拉瓦克文 (arw)
阿拉米文 (arc)
阿拉伯文 (ar)
阿拉伯文（查德） (shu)
阿拉帕霍文 (arp)
阿拉貢文 (an)
阿拉奧納文 (aro)
阿法文 (aa)
阿迪各文 (ady)
阿庫色文 (bss)
阿留申文 (ale)
阿斯圖里亞文 (ast)
阿當莫文 (ada)
阿僑利文 (ach)
阿爾及利亞阿拉伯文 (arq)
阿爾巴尼亞文 (sq)
阿緯斯陀文 (ae)
阿燦文 (cch)
阿薩姆文 (as)
阿蘇文 (asa)
俄文 (ru)
保加利亞文 (bg)
信德文 (sd)
南地畢列文 (nr)
南亞塞拜然文 (azb)
南阿爾泰文 (alt)
南非荷蘭文 (af)
南薩米文 (sma)
哈薩克文 (kk)
契奴克文 (chn)
威尼斯文 (vec)
威爾斯文 (cy)
客家話 (hak)
峇里文 (ban)
查加文 (chg)
查庫爾文 (tkr)
查莫洛文 (ch)
洋卞文 (yav)
洛齊文 (loz)
科瓦文 (khw)
科米-彼爾米亞克文 (koi)
科米文 (kv)
科西嘉文 (co)
科斯雷恩文 (kos)
科普特文 (cop)
科隆文 (ksh)
科隆達羅文 (gor)
科塔瓦文 (avk)
科薩文 (xh)
科羅文 (kfo)
突尼西亞文 (tn)
突尼斯阿拉伯文 (aeb)
約魯巴文 (yo)
美式英文 (en_US)
美茵-法蘭克尼亞文 (vmf)
美國手語 (ase)
美塔文 (mgo)
耐諾斯克挪威文 (nn)
耶姆巴文 (ybb)
胡帕文 (hup)
英文 (en)
英式英文 (en_GB)
英格裏亞文 (izh)
迪尤拉文 (dyu)
迪維西文 (dv)
俾路支文 (bal)
倫巴底文 (lmo)
剛果文 (kg)
哥德文 (got)
埃及阿拉伯文 (arz)
埃米利安文 (egl)
埃斯特雷馬杜拉文 (ext)
埃菲克文 (efi)
埃維文 (ee)
埃蘭文 (elx)
夏威夷文 (haw)
庫特奈文 (kut)
庫密克文 (kum)
庫爾德文 (ku)
庫魯科文 (kru)
恩布文 (ebu)
恩甘澎文 (nnh)
恩東加文 (ng)
恩格姆巴文 (jgo)
拿波里文 (nap)
挪威文 (no)
旁狄希臘文 (pnt)
旁遮普文 (pa)
朗吉文 (lag)
柴羅基文 (chr)
根語言 (root)
格列博文 (grb)
格陵蘭文 (kl)
桑戈文 (sg)
桑古文 (sbp)
桑達韋文 (sad)
泰文 (th)
泰雷諾文 (ter)
泰頓文 (tet)
泰盧固文 (te)
海地文 (ht)
海達文 (hai)
烏加列文 (uga)
烏克蘭文 (uk)
烏茲別克文 (uz)
烏都文 (ur)
特松加文 (ts)
特林基特文 (tli)
特威文 (tw)
特索文 (teo)
特薩克尼恩文 (tsd)
班巴拉文 (bm)
班亞爾文 (bjn)
祖尼文 (zun)
祖魯文 (zu)
納瓦霍文 (nv)
納馬文 (naq)
紐埃文 (niu)
索加文 (xog)
索尼基文 (snk)
索拉什特拉文 (saz)
索拉尼庫爾德文 (ckb)
索格底亞納文 (sog)
索馬利文 (so)
索羅亞斯德教達里文 (gbz)
貢根文 (kok)
馬孔德文 (kde)
馬巴文 (mde)
馬加伊文 (mag)
馬夸文 (mgh)
馬里文 (chm)
馬來文 (ms)
馬來亞拉姆文 (ml)
馬其頓文 (mk)
馬拉加什文 (mg)
馬拉地文 (mr)
馬法文 (maf)
馬恰美文 (jmc)
馬紹爾文 (mh)
馬都拉文 (mad)
馬普切文 (arn)
馬爾他文 (mt)
馬爾尼裡文 (mwr)
馬賽文 (mas)
高地德文（瑞士） (de_CH)
高棉文 (km)
國際文 (ia)
國際文（E） (ie)
基切文 (quc)
基那來阿文 (krj)
宿霧文 (ceb)
康瓦耳文 (kw)
康姆文 (bkm)
捷克文 (cs)
敘利亞文 (syr)
曼丁哥文 (man)
曼尼普裡文 (mni)
曼島文 (gv)
曼達文 (mdr)
曼德文字 (N’Ko) (nqo)
望加錫文 (mak)
梅敦巴文 (byv)
梅魯文 (mer)
梵文 (sa)
現代標準阿拉伯文 (ar_001)
荷蘭文 (nl)
莫西文 (mos)
莫克沙文 (mdf)
莫霍克文 (moh)
處奇斯文 (chk)
博多文 (brx)
博傑普爾文 (bho)
喀什米爾文 (ks)
喬克托文 (cho)
喬治亞文 (ka)
奥地利德文 (de_AT)
富拉文 (ff)
富特文 (bfd)
巽他文 (su)
復活島文 (rap)
提夫文 (tiv)
提姆文 (tem)
提格利尼亞文 (ti)
散塔利文 (sat)
斐濟文 (fj)
斐濟印地文 (hif)
斯瓦特文 (ss)
斯拉夫 (den)
斯洛伐克文 (sk)
斯洛維尼亞文 (sl)
斯科特薩米文 (sms)
普什圖文 (ps)
普法爾茨德文 (pfl)
普魯士文 (prg)
欽西安文 (tsi)
欽博拉索海蘭蓋丘亞文 (qug)
湘語 (hsn)
無語言內容 (zxx)
猶太阿拉伯文 (jrb)
猶太教-波斯文 (jpr)
腓尼基文 (phn)
菲律賓文 (fil)
越南文 (vi)
鄂圖曼土耳其文 (ota)
隆迪文 (rn)
雅庫特文 (sah)
雅浦文 (yap)
塔加路族文 (tl)
塔吉克文 (tg)
塔里什文 (tly)
塔馬奇克文 (tmh)
塔馬齊格特文 (tzm)
塞內加爾文 (sn)
塞拉利昂克裏奧爾文 (kri)
塞拉亞文 (sly)
塞索托文 (st)
塞訥卡文 (see)
塞雷爾文 (srr)
塞爾維亞文 (sr)
塞爾維亞克羅埃西亞文 (sh)
奧克西坦文 (oc)
奧杰布瓦文 (oj)
奧塞提文 (os)
奧羅莫文 (om)
意第緒文 (yi)
愛沙尼亞文 (et)
愛爾蘭文 (ga)
新共同語言 (lfn)
楚瓦什文 (cv)
溫達文 (ve)
溫舊文 (vun)
瑞士法文 (fr_CH)
瑞典文 (sv)
瑟里文 (sei)
瑟爾卡普文 (sel)
粵語 (yue)
義大利文 (it)
葛巴亞文 (gba)
葛摩文 (swb)
葡萄牙文 (pt)
蒂格雷文 (tig)
路易塞諾文 (lui)
達科他文 (dak)
達爾格瓦文 (dar)
達薩文 (dzg)
僧伽羅文 (si)
圖姆布卡文 (tum)
圖盧文 (tcy)
圖羅尤文 (tru)
滿族文 (mnc)
瑤文 (yao)
瑪詹德拉尼文 (mzn)
維吾爾文 (ug)
維普森文 (vep)
蒙古文 (mn)
蒙當文 (mua)
蓋格阿爾巴尼亞文 (aln)
蓋楚瓦文 (qu)
豪撒文 (ha)
賓夕法尼亞德文 (pdc)
赫梯文 (hit)
赫雷羅文 (hz)
閩南語 (nan)
寮文 (lo)
廣亞馬文 (kj)
德文 (de)
德文（瑞士） (gsw)
德拉瓦文 (del)
摩洛哥阿拉伯文 (ary)
摩爾多瓦文 (ro_MD)
撒丁文 (sc)
撒撒克文 (sas)
撣文 (shn)
標準摩洛哥塔馬塞特文 (zgh)
歐利亞文 (or)
歐塞奇文 (osa)
潘加辛文 (pag)
潘帕嘉文 (pam)
緬甸文 (my)
魯巴加丹加文 (lu)
魯巴魯魯亞文 (lua)
魯勒薩米文 (smj)
墨西哥西班牙文 (es_MX)
澤納加文 (zen)
澳大利亚英文 (en_AU)
盧安達文 (rw)
盧恩達文 (lun)
盧晒文 (lus)
盧森尼亞文 (rue)
盧森堡文 (lb)
盧雅文 (luy)
盧奧文 (luo)
穆斯林塔特文 (ttt)
諾維亞文 (nov)
諾蓋文 (nog)
諾魯文 (na)
錫克錫卡文 (bla)
繁體中文 (zh_Hant)
賽納文 (seh)
邁蒂利文 (mai)
韓文 (ko)
簡體中文 (zh_Hans)
薩丁尼亞-薩薩里文 (sdc)
薩布魯文 (saq)
薩波特克文 (zap)
薩莫吉希亞文 (sgs)
薩瑪利亞阿拉姆文 (sam)
薩摩亞文 (sm)
薩霍文 (ssy)
藏文 (bo)
豐文 (fon)
羅瓦文 (rwk)
羅馬尼亞文 (ro)
羅馬尼亞語系 (rup)
羅馬格諾里文 (rgn)
羅曼斯文 (rm)
羅圖馬島文 (rtm)
羅維阿納文 (rug)
蘇拉南東墎文 (srn)
蘇美文 (sux)
蘇庫馬文 (suk)
蘇格蘭文 (sco)
蘇格蘭蓋爾文 (gd)
蘇蘇文 (sus)
蘭巴文 (lam)
蘭博文 (rof)
韃靼文 (tt)
邏輯文 (jbo)
贛語 (gan)
Warlpiri (wbp)
